id,name,Position,ADP,Team
bd0373f1-828f-47ab-ad1d-2c15d9882326,Ja'Marr Chase,WR,,CIN
9eda9e31-4048-4701-a941-514ea693931c,CeeDee Lamb,WR,,DAL
56a90938-cc23-443e-97a5-ecf2583a4359,Saquon Barkley,RB,,PHI
6658a6f9-ca30-48a9-84f7-e8487a789169,Justin Jefferson,WR,,MIN
8540677f-87de-4a3a-a859-005259725864,Puka Nacua,WR,,LAR
abd45f90-fba3-4042-be9f-61a630b636af,Jahmyr Gibbs,RB,,DET
d3391a1d-6d28-467f-a873-1e25109c7f1a,Malik Nabers,WR,,NYG
092ec797-1d79-49c9-b2d9-4b5db02fa3e7,Bijan Robinson,RB,,ATL
dd0192e1-095e-4780-96f3-55e6b05164a7,Nico Collins,WR,,HOU
4ad56d72-7542-4e91-9240-ec732e76fc3d,Amon-Ra St. Brown,WR,,DET
745d549c-0167-4983-b8d0-515547d79894,Ashton Jeanty,RB,,LV
d91bb4e3-1d0d-48f8-80ed-c121eebe7ffc,Brian Thomas Jr.,WR,,JAX
37a5a2cd-830f-4913-b6c6-7d6ffc371a16,Brock Bowers,TE,,LV
1a7342a9-91b6-484c-9ff0-fd840181e362,Christian McCaffrey,RB,,SF
7c99d157-7f5e-42ae-95df-9138d8b07b63,A.J. Brown,WR,,PHI
dee33027-7262-4a4d-9bc8-1dc3602f0705,Drake London,WR,,ATL
90fe78dc-f4e0-45cf-b8be-fd858ce3a151,Ladd McConkey,WR,,LAC
33c55276-602c-4a23-becc-3d773aa3de8c,Trey McBride,TE,,ARI
f089951e-aebf-45c5-9f83-5de19656143b,Devon Achane,RB,,MIA
5cada277-c64d-46c6-9fc0-79af3204a9f4,Rashee Rice,WR,,KC
2833d5f6-7108-454c-b2ef-931484b85cea,Jonathan Taylor,RB,,IND
4a00dc6d-0af4-45c8-8394-339852451044,Derrick Henry,RB,,BAL
b7323029-e5bb-498a-b2cf-7d09acecfd37,Tee Higgins,WR,,CIN
e420130f-4cf6-4bef-95cb-ca491d194e75,Garrett Wilson,WR,,NYJ
44b78feb-4a5a-43df-965b-8816c0b43004,Tyreek Hill,WR,,MIA
81f61250-7a26-4152-b1af-ca1bcf66900b,Davante Adams,WR,,LAR
e182a259-faec-42bb-b39c-8ea78756f412,Jaxon Smith-Njigba,WR,,SEA
2c28096c-e254-408b-822a-cd3c86478224,Marvin Harrison Jr.,WR,,ARI
