id,name,Position,ADP,Team
098d87b9-1fc9-4466-a7dd-7f35f697f506,CeeDee Lamb,WR,,DAL
a36d312f-0f65-4e3a-98ef-823608309b21,Tyreek Hill,WR,,MIA
8209c653-34c2-4bc5-8434-d5a6d2c8b27b,Justin Jefferson,WR,,MIN
5a9b6074-7296-4571-94f8-6b9e803ba039,Ja'Marr Chase,WR,,CIN
9e801ec6-ed8e-49b1-8b66-90553d7dd7e2,Christian McCaffrey,RB,,SF
7b36b9f5-93c3-4fb7-8703-f89aa740c452,Amon-Ra St. Brown,WR,,DET
fb1781a7-ebfc-47c4-a925-18ad114c9834,Puka Nacua,WR,,LAR
3f671138-3ef9-437b-af4b-f865c1423161,Breece Hall,RB,,NYJ
7f4475be-2cd2-4e94-9272-9d6e1c6a6262,Bijan Robinson,RB,,ATL
c76953d5-dc07-49f6-85e2-731b919c09a0,Garrett Wilson,WR,,NYJ
2bad3d34-9960-4d9a-8fa7-6abc8d2ba1f7,A.J. Brown,WR,,PHI
ffadf9c7-84c5-4cbd-882c-08ac77e4ceff,Marvin Harrison Jr.,WR,,ARI
56c751bc-45b5-4984-b916-8a9b1cbc056e,Drake London,WR,,ATL
0ca934b7-a6df-4df8-9f7b-f34f1f51d396,Nico Collins,WR,,HOU
6591b1cf-50ee-4c6d-964c-2b26ad46bfde,Davante Adams,WR,,LV
12dc1620-9e6e-4ea6-81db-325a12cf154c,Malik Nabers,WR,,NYG
0eca149b-3acb-4540-90b9-e573a3983e73,Jaylen Waddle,WR,,MIA
bc1959be-6b30-4eca-be97-0f2e5b97eb9a,Deebo Samuel,WR,,SF
333093b5-7ef3-49ae-a736-93217e79f666,Chris Olave,WR,,NO
c0c23fc3-862e-481f-824b-04ee87c01392,DeVonta Smith,WR,,PHI
c3032705-9198-4d1b-ba45-3d5eb7983645,Brandon Aiyuk,WR,,SF
07d3867e-0154-4152-a798-18d6c7accd42,Cooper Kupp,WR,,LAR
f098bc7a-7b26-4b95-8a2a-5603e0c79eab,Jahmyr Gibbs,RB,,DET
b4792419-5e76-45de-864a-741ac6df7651,Jonathan Taylor,RB,,IND
8da0dbe1-4d06-45f3-830a-2112443c2466,Mike Evans,WR,,TB
f68af97f-836c-472d-8ad2-8b87a19ec178,DJ Moore,WR,,CHI
2df22d1e-e053-42dd-9c5e-480d1196ff25,Tank Dell,WR,,HOU
2704e8d7-a534-4bef-9e3d-6d12ff738205,DK Metcalf,WR,,SEA
079b90e6-3ce0-4952-88a6-8e2a3003d6fe,Keenan Allen,WR,,CHI
aeec05d9-8fa4-4b9a-a85d-4611dbb12d5f,Stefon Diggs,WR,,HOU
5b733acd-4a48-40f0-9662-51e4540b0351,Saquon Barkley,RB,,PHI
0c4fb388-7ebc-4e40-947f-90ba2e7f60a3,Michael Pittman,WR,,IND
47a7e2a4-2f23-4670-ac09-1c20b7e4bb39,Devon Achane,RB,,MIA
2ea6b394-3237-4644-8b49-69cf67b6e8a9,Kyren Williams,RB,,LAR
66b13037-5e4c-4b36-a7e7-398cbace2e58,Josh Allen,QB,,BUF
f258ff18-d5fd-4dce-af9a-958900eecf52,Lamar Jackson,QB,,BAL
0c410b1a-19f9-415f-ae96-11dc81d258dc,George Pickens,WR,,PIT
686108bb-239b-4273-a28a-69b9571cc03d,Sam LaPorta,TE,,DET
eb7bc4df-1285-4d03-94d4-bf9ab58eea87,Trey McBride,TE,,ARI
0f1d4122-0410-4a08-8ec5-564ad56b8d8c,Zay Flowers,WR,,BAL
84b4c137-2193-4e4b-b3de-a74f2eed2ad3,Terry McLaurin,WR,,WAS
3641f3d1-3ff6-4d44-91db-47834e41227b,Christian Kirk,WR,,JAX
d27b174c-ed7e-4138-a2c7-ab3fcd3575b3,Tee Higgins,WR,,CIN
5e0c0398-4cff-4185-9805-3d5b56cb929b,Jalen Hurts,QB,,PHI
18a2678b-805b-4ec2-8489-0e677735311b,Travis Kelce,TE,,KC
b73379fb-c0bf-4624-bb87-5b9daf7ae1ed,Mark Andrews,TE,,BAL
1028d0c1-94d4-463f-9a3d-3c0bebb060db,Patrick Mahomes,QB,,KC
d763e0dc-b773-483d-be2a-a49c5ee0046d,Rashee Rice,WR,,KC
5fd1a37f-4c31-4cc1-82b5-ce980d353aaa,Dalton Kincaid,TE,,BUF
4ffdccda-f8a4-4ec4-90a6-0ddf19626a93,Kyle Pitts,TE,,ATL
2426f790-2c33-4a1d-9074-0a2975affc5d,Amari Cooper,WR,,CLE
012a73f3-7fe2-427d-89d5-2ddc0fb366e6,Joe Mixon,RB,,HOU
951c3ab5-1b70-43de-a537-16376027a240,Isiah Pacheco,RB,,KC
a9ad9af2-611c-4c9b-9e07-687f619a55ce,Travis Etienne,RB,,JAX
501824d3-4a54-4af2-b44a-d3ecd1963f1d,Jayden Reed,WR,,GB
19f1f476-acd6-4dbd-ac1c-7c4a920bf479,Chris Godwin,WR,,TB
f1af93fd-af0e-4380-8ae4-519f04a8673c,Xavier Worthy,WR,,KC
e5c2cbd7-65b7-41a9-b81d-a6e1313571fd,Anthony Richardson,QB,,IND
993baded-bd48-4787-b0ad-ac2996be73a4,Josh Jacobs,RB,,GB
d7025fba-a9fc-4295-8a27-b194556a90f9,James Cook,RB,,BUF
