name,position,team,value
"Chase Brown",RB,CIN,26.0218
"Michael Gallup",WR,DAL,22.7686
2023.3.12,0,0,25.9700
"Ezekiel Elliott",RB,FA,24.3646
"Luke Musgrave",TE,GB,34.7483
"DJ Chark",WR,CAR,21.5504
2023.4.01,0,0,23.9700
"Allen Lazard",WR,NYJ,20.9321
"Adam Thielen",WR,CAR,20.9246
"Luke Schoonmaker",TE,DAL,33.6886
2025.3,0,0,23.0719
"D'Onta Foreman",RB,CHI,21.8317
"Clyde Edwards-Helaire",RB,KC,21.4302
2023.4.02,0,0,21.9700
"Gerald Everett",TE,LAC,30.6840
"Jelani Woods",TE,IND,29.2789
"Mike Gesicki",TE,NE,28.9791
2023.4.early,0,0,20.9738
"Donovan Peoples-Jones",WR,CLE,17.4061
"Dawson Knox",TE,BUF,28.1279
2023.4.03,0,0,19.9800
"Jeff Wilson Jr",RB,MIA,18.2804
"Irv Smith Jr",TE,CIN,26.2703
"Isaiah Likely",TE,BAL,26.2406
"Noah Fant",TE,SEA,25.8638
"Zay Jones",WR,JAC,16.2221
"Curtis Samuel",WR,WAS,16.2023
"Chase Claypool",WR,CHI,16.1304
2023.4.04,0,0,17.9800
"Zach Ertz",TE,ARI,24.9625
"Jerome Ford",RB,CLE,16.4027
"Josh Palmer",WR,LAC,14.9055
"Michael Wilson",WR,ARI,14.8464
"Israel Abanikanda",RB,NYJ,15.5803
"Zach Evans",RB,LAR,15.4787
2023.4.05,0,0,15.9800
"Jerick McKinnon",RB,KC,14.7908
"Terrace Marshall",WR,CAR,13.7513
"Isaiah Hodgins",WR,NYG,13.6443
"Jaylen Warren",RB,PIT,14.5824
"Hunter Renfrow",WR,LV,12.6886
"Kenneth Gainwell",RB,PHI,13.4651
"Kareem Hunt",RB,FA,13.3650
"Tyler Higbee",TE,LAR,19.3239
"Bailey Zappe",QB,NE,13.0738
"David Bell",WR,CLE,12.0233
2023.4.06,0,0,13.9800
"Michael Carter",RB,NYJ,12.9276
"Parris Campbell",WR,NYG,11.8506
"Daniel Bellinger",TE,NYG,18.7071
"Raheem Mostert",RB,MIA,12.6975
"Ty Chandler",RB,MIN,12.5311
"Rashid Shaheed",WR,NO,12.2101
"Puka Nacua",WR,LAR,12.1786
"Jacoby Brissett",QB,WAS,12.1653
2024.4,0,0,13.1350
2023.4.mid,0,0,12.9838
2023.4,0,0,12.9838
"Cade Otton",TE,TB,17.8724
"Tyquan Thornton",WR,NE,11.7270
"Hayden Hurst",TE,CAR,16.4593
"Leonard Fournette",RB,FA,11.3947
"Hunter Henry",TE,NE,16.2166
2023.4.07,0,0,11.9900
"Allen Robinson",WR,PIT,10.9717
"Kyle Trask",QB,TB,10.7297
"Tucker Kraft",TE,GB,15.0888
"Jake Ferguson",TE,DAL,15.0884
"James Robinson",RB,FA,9.5750
"Sam Darnold",QB,SF,9.5717
"Khalil Shakir",WR,BUF,9.4787
"Chuba Hubbard",RB,CAR,9.3704
"Marquez Valdes-Scantling",WR,KC,9.3046
"Colt McCoy",QB,ARI,9.1818
"KJ Osborn",WR,MIN,9.1353
"Zamir White",RB,LV,9.0961
2023.4.08,0,0,9.9900
"Greg Dortch",WR,ARI,8.7932
"Cordarrelle Patterson",RB,ATL,8.7153
"DeWayne McBride",RB,MIN,8.5442
"Gardner Minshew",QB,IND,9.3276
"Tim Patrick",WR,DEN,8.3175
"Van Jefferson",WR,LAR,7.9967
"Pierre Strong",RB,NE,7.9637
"Malik Willis",QB,TEN,8.9029
"Jameis Winston",QB,NO,8.8097
"Mike White",QB,MIA,8.7440
"Isaiah Spiller",RB,LAC,7.6352
"Gus Edwards",RB,BAL,7.4973
"Malik Davis",RB,DAL,7.3304
"Robert Woods",WR,HOU,7.2930
"Deuce Vaughn",RB,DAL,7.1462
"Dorian Thompson-Robinson",QB,CLE,8.1113
"Darius Slayton",WR,NYG,7.0878
"Laviska Shenault",WR,CAR,6.9951
2023.4.09,0,0,7.9900
"Sean Tucker",RB,TB,6.8781
"Stetson Bennett",QB,LAR,7.7581
"Charlie Jones",WR,CIN,6.6391
"Davis Mills",QB,HOU,7.5550
"Sterling Shepard",WR,NYG,6.5167
"Clayton Tune",QB,ARI,7.4657
"Marvin Jones",WR,DET,6.4602
"Xavier Hutchinson",WR,HOU,6.4029
"Tyler Conklin",TE,NYJ,9.3666
"Hassan Haskins",RB,TEN,6.3211
"Tyler Huntley",QB,BAL,7.3149
"Chris Rodriguez",RB,WAS,6.2738
"Zach Wilson",QB,NYJ,7.2421
"DeVante Parker",WR,NE,6.2355
"Darnell Washington",TE,PIT,9.1982
"Zack Kuntz",TE,NYJ,9.1632
"Chase Edmonds",RB,TB,6.0926
"Elijah Higgins",TE,MIA,9.0613
"Kayshon Boutte",WR,NE,6.0562
"Justyn Ross",WR,KC,6.0463
"Taylor Heinicke",QB,ATL,6.9847
"Kyren Williams",RB,LAR,5.9394
"Zack Moss",RB,IND,5.9391
"Mecole Hardman",WR,NYJ,5.9321
"Aidan O'Connell",QB,LV,6.9169
"Jalen Tolbert",WR,DAL,5.8817
"Trayveon Williams",RB,CIN,5.8703
"Deneric Prince",RB,KC,5.8258
"Brenton Strange",TE,JAC,8.7790
"Taysom Hill",TE,NO,8.7748
"Eric Gray",RB,NYG,5.7629
"Kenny McIntosh",RB,SEA,5.7007
"Corey Davis",WR,NYJ,5.6840
"AT Perry",WR,NO,5.6467
"Tre Tucker",WR,LV,5.5812
"Derius Davis",WR,LAC,5.5647
"Marcus Mariota",QB,PHI,6.5201
"Jarrett Stidham",QB,DEN,6.4660
"JaMycal Hasty",RB,JAC,5.3829
2025.4,0,0,6.3825
"Keaontay Ingram",RB,ARI,5.3113
"Andy Dalton",QB,CAR,6.3081
"Zonovan Knight",RB,NYJ,5.3069
"Joshua Kelley",RB,LAC,5.2858
"Isaiah McKenzie",WR,IND,6.2672
"Jaren Hall",QB,MIN,6.1953
"Jauan Jennings",WR,SF,6.1195
2023.4.10,0,0,5.9900
"Devin Duvernay",WR,BAL,5.9318
"Teagan Quitoriano",TE,HOU,6.8687
"Evan Hull",RB,IND,4.7720
"Austin Hooper",TE,LV,6.7666
"Carson Wentz",QB,FA,5.7633
"Mohamed Ibrahim",RB,DET,4.7035
"Noah Gray",TE,KC,6.6979
"Josh Whyle",TE,TEN,6.6739
"Jarvis Landry",WR,FA,5.6586
"D'Ernest Johnson",RB,JAC,4.5854
"Nyheim Hines",RB,BUF,4.5596
2023.4.late,0,0,5.4132
"Tyler Scott",WR,CHI,5.3587
"Tyrion Davis-Price",RB,SF,4.1099
"Albert Okwuegbunam",TE,DEN,5.9796
"Tylan Wallace",WR,BAL,4.9422
"Kyle Philips",WR,TEN,4.8718
"Russell Gage",WR,TB,4.8557
2024.5,0,0,4.6150
"Adam Trautman",TE,DEN,4.3871
"Deon Jackson",RB,IND,3.3432
"Kevin Harris",RB,NE,3.3253
"Jordan Mason",RB,SF,3.3138
"Matt Corral",QB,CAR,4.1275
2023.4.11,0,0,4.0000
"KJ Hamler",WR,DEN,3.8573
"Chris Evans",RB,CIN,2.6825
2023.4.12,0,0,3.6800
"Richie James",WR,KC,3.5322
"Robert Tonyan",TE,CHI,3.4297
2023.5.01,0,0,3.3600
2023.5.02,0,0,3.0400
"Foster Moreau",TE,NO,2.9837
2023.5.early,0,0,2.9363
"Ben Skowronek",WR,LAR,2.8679
2023.5.03,0,0,2.8000
"Brevin Jordan",TE,HOU,2.7367
"Mitchell Trubisky",QB,PIT,2.6872
"Josh Reynolds",WR,DET,2.6399
"Parker Washington",WR,JAC,2.5842
2023.5.04,0,0,2.5600
"Dyami Brown",WR,WAS,2.5339
"Will Dissly",TE,SEA,1.3752
2023.5.05,0,0,2.3200
"Harrison Bryant",TE,CLE,1.2790
2025.5,0,0,2.2425
"Quez Watkins",WR,PHI,2.1424
"Ronald Jones",RB,DAL,1.0933
2023.5.06,0,0,2.0800
"Jonnu Smith",TE,ATL,1.0008
"Tommy Tremble",TE,CAR,0.9667
2023.5,0,0,1.9576
2023.5.mid,0,0,1.9576
2023.5.07,0,0,1.8400
2023.5.08,0,0,1.6000
2023.5.09,0,0,1.4400
2023.5.10,0,0,1.2800
2023.5.late,0,0,1.1985
2023.5.11,0,0,1.1200
2023.5.12,0,0,0.9600
