"Name","Pos","Team","ETR Rank","ADP","ADP Dif","Pos Rank ETR","Pos Rank ADP","Pos Rank Dif","id","Estimated Ownership"
"Tahj Brooks","RB","CIN","199","203.3","4.3","RB61","RB65","4","10b8eca4-c667-4927-a2ab-e24021ad18a5","48.29%"
"Joe Mixon","RB","HOU","200","101.0","-99.0","RB62","RB33","-29","9da4da3d-00e5-494d-9b92-dd875a92a9c1","100%"
"Parker Washington","WR","JAX","201","215.7","14.7","WR85","WR109","24","3c447c3d-b2ae-44be-9b4c-5a7efe6bfdb9","2.52%"
"Theo Johnson","TE","NYG","202","208.2","6.2","TE28","TE29","1","3349f39b-9dd6-42f3-a50c-8f7e8134d2bf","40.3%"
"Calvin Austin III","WR","PIT","203","215.0","12.0","WR86","WR99","13","c5278c01-f7c3-4163-9ed0-9b76a84b06d3","64.2%"
"Malik Washington","WR","MIA","204","211.7","7.7","WR87","WR87","0","43ea5795-c57d-463f-af6d-23685089f41f","9.05%"
"Harold Fannin Jr.","TE","CLE","205","201.4","-3.6","TE29","TE27","-2","2d084934-667e-4903-b462-a33b9041291d","21.39%"
"Ray-Ray McCloud","WR","ATL","206","213.4","7.4","WR88","WR93","5","4c50a7a3-7ac8-442f-a792-11977cea9322","27.32%"
"Daniel Jones","QB","IND","207","202.5","-4.5","QB28","QB29","1","0b920098-c972-4e90-9e89-7430232e7567","48.65%"
"Nick Westbrook-Ikhine","WR","MIA","208","215.8","7.8","WR89","WR112","23","33f93253-33a6-4e0f-8d93-815366d14090","7%"
"Tyler Lockett","WR","TEN","209","213.8","4.8","WR90","WR94","4","d8b3c731-9054-4d15-a4ee-e12beb4825fa","54.16%"
"Josh Reynolds","WR","NYJ","210","214.8","4.8","WR91","WR96","5","b700e4d6-99b4-48cc-80a5-ca0bf0a54a68","10.02%"
"Jarquez Hunter","RB","LA","211","214.3","3.3","RB63","RB74","11","e5efd76e-3450-4e90-b4a4-74a10f8cef0b","62.48%"
"Juwan Johnson","TE","NO","212","213.5","1.5","TE30","TE33","3","10b27c42-0621-472d-bfa7-3f6c598980be","50.52%"
"Kareem Hunt","RB","KC","213","210.9","-2.1","RB64","RB68","4","011d7af8-9fc6-47e2-b1c7-60ad22188306","44.56%"
"Ja'Tavion Sanders","TE","CAR","214","196.4","-17.6","TE31","TE26","-5","5357fee8-c779-4442-8e21-286ad59d4cbd","79.07%"
"DeAndre Hopkins","WR","BAL","215","202.9","-12.1","WR92","WR83","-9","54ad314c-d98a-4087-9831-d9fe55233e1c","94.76%"
"Kendre Miller","RB","NO","216","214.4","-1.6","RB65","RB75","10","5f9ab9ae-8374-4dca-8ff1-660f399c587c","6.64%"
"Tyler Higbee","TE","LA","217","215.3","-1.7","TE32","TE35","3","ef67177a-49c1-49d1-a6df-20ae9588b890","7.09%"
