Name,Team,Wk17,Pos,P Rk,Rank,ADP,Rookie,+/-,id
Jaxon Smith-Njigba,SEA,CHI,WR,WR44,73,75.4,,2.4,71aa400e-7eab-465e-bf0a-1c1f7f407306
Hollywood Brown,KC,PIT,WR,WR45,74,70.0,,-4,905c091a-69b0-4c46-9f4a-0887d6485aaf
Kyler Murray,ARI,LAR,QB,QB7,75,73.3,,-1.7,bf247202-99b8-442a-9164-7e7b88e3c39c
David Montgomery,DET,SF,RB,RB17,76,69.3,,-6.7,1bbd25be-df0b-43c5-a027-2ff0bc886805
James Conner,ARI,LAR,RB,RB18,77,76.9,,-0.1,94b09be0-23a5-46fd-9484-7aa994983d13
Aaron Jones,MIN,GB,RB,RB19,78,80.3,,2.3,c7a3f5f1-7736-4c0d-9fed-b00b9e39c46b
Rhamondre Stevenson,NE,LAC,RB,RB20,79,82.1,,3.1,1775916e-71ef-4b95-beb7-cc387b7d0a26
Jaylen Warren,PIT,KC,RB,RB21,80,86.0,,6,f92ed8de-d86d-4837-9230-7ed84bdaf0f3
Evan Engram,JAX,TEN,TE,TE8,81,77.4,,-3.6,5482dd3a-89c6-44de-9819-2b27e7af1097
Alvin Kamara,NO,LV,RB,RB22,82,72.7,,-9.3,8efa33b9-1203-4a58-82f7-2b1104491e97
Zamir White,LV,NO,RB,RB23,83,88.7,,5.7,1eaa53eb-1685-436a-92f1-5108e9060916
Najee Harris,PIT,KC,RB,RB24,84,83.8,,-0.2,fa6d275b-9843-4a2a-a13f-17b2a6421118
Jordan Addison,MIN,GB,WR,WR46,85,87.9,,2.9,010a891d-2b17-4cbc-b8fe-7b3aa74f9e6f
Jameson Williams,DET,SF,WR,WR47,86,82.2,,-3.8,05770873-38ff-4f2c-9fe6-93b30344c8ff
Brock Bowers,LV,NO,TE,TE9,87,95.7,Rookie,8.7,f5867da2-a5d7-46e0-8c3d-87d8f5679ac3
Jonathon Brooks,CAR,TB,RB,RB25,88,95.3,Rookie,7.3,d4aff586-ebb1-48b4-9046-92ced891b82e
Jake Ferguson,DAL,PHI,TE,TE10,89,84.3,,-4.7,21b4aa19-67f2-4f75-9580-e7de8402ec95
Joe Burrow,CIN,DEN,QB,QB8,90,89.7,,-0.3,13b9e9b0-7b2f-4a53-9772-7a2b029a0cec
Courtland Sutton,DEN,CIN,WR,WR48,91,95.8,,4.8,63578ada-4ed4-4316-9f8a-e9aabc341a12
Dak Prescott,DAL,PHI,QB,QB9,92,97.1,,5.1,820e0944-20ba-491d-94a0-9c367bb95d2a
Jordan Love,GB,MIN,QB,QB10,93,93.3,,0.3,9edea840-1092-4867-b6ce-7cf21b5a10b0
Chase Brown,CIN,DEN,RB,RB26,94,99.7,,5.7,3e8980e6-5db5-4abf-bf09-961510c13cca
Raheem Mostert,MIA,CLE,RB,RB27,95,91.6,,-3.4,313f9102-552e-42bb-9de8-8cdd09f9f400
Curtis Samuel,BUF,NYJ,WR,WR49,96,87.0,,-9,5938ed56-9d15-4ddb-bbb6-4f2df360082d
Jayden Daniels,WAS,ATL,QB,QB11,97,98.5,Rookie,1.5,7596f380-5b00-47a8-9598-a26c2f107188
D'Andre Swift,CHI,SEA,RB,RB28,98,90.0,,-8,59e3addb-e2f7-4d24-8852-eaa61c397dd7
Joshua Palmer,LAC,NE,WR,WR50,99,101.5,,2.5,5b58b8bc-4e70-4c59-9b39-5d06ff9cc138
Tony Pollard,TEN,JAX,RB,RB29,100,101.4,,1.4,46af6d96-b1c6-420e-8267-e45b7ee6bed2
Brian Robinson Jr.,WAS,ATL,RB,RB30,101,105.4,,4.4,8f945f72-643c-468a-92f0-5ce4eea02376
David Njoku,CLE,MIA,TE,TE11,102,99.0,,-3,3346891b-8250-442e-be54-4ffc467140f0
DeAndre Hopkins,TEN,JAX,WR,WR51,103,90.6,,-12.4,d0ab599c-2441-43c7-8e44-355ddcd40fb4
Rashid Shaheed,NO,LV,WR,WR52,104,109.9,,5.9,e589613d-c3de-4dd1-9cfd-2e28677b4341
Khalil Shakir,BUF,NYJ,WR,WR53,105,106.5,,1.5,14655452-ddcb-4917-b5d6-16cba10df015
Romeo Doubs,GB,MIN,WR,WR54,106,99.2,,-6.8,eab97f05-41eb-44dd-bcd6-b1164453d78f
Javonte Williams,DEN,CIN,RB,RB31,107,106.1,,-0.9,4cdb965b-ad70-4a6d-9ab5-2d106a11b98f
Devin Singletary,NYG,IND,RB,RB32,108,111.4,,3.4,afbfb86b-62fa-4d76-850e-106a8bef1227
Zack Moss,CIN,DEN,RB,RB33,109,104.3,,-4.7,3e152432-f6e7-42b7-b71e-fd969103ef58
Tyjae Spears,TEN,JAX,RB,RB34,110,109.8,,-0.2,155d3ea9-be02-439b-893f-61cfb7e42e14
