Name,Team,Wk17,Pos,P Rk,Rank,ADP,Rookie,+/-,id
Antonio Gibson,NE,LAC,RB,RB53,161,168.0,,7,8455944d-c59f-4f25-a201-2a0785a34543
Adam Thielen,CAR,TB,WR,WR71,162,158.8,,-3.2,219e05a7-6e17-4f64-a2ae-2023dd01ecb3
Jahan Dotson,WAS,ATL,WR,WR72,163,138.8,,-24.2,63fee59f-b98f-4a3b-b166-6f5dd8382977
Baker Mayfield,TB,CAR,QB,QB22,164,164.2,,0.2,3d994e25-98b0-4fe4-8e43-45caa3b05889
Noah Fant,SEA,CHI,TE,TE18,165,165.6,,0.6,8f7f70cb-d238-4263-a283-67fa1e0d8e88
Geno Smith,SEA,CHI,QB,QB23,166,168.7,,2.7,edb873b8-24e4-46c7-a82e-01efdedd9ff3
Wan'Dale Robinson,NYG,IND,WR,WR73,167,166.9,,-0.1,e1e19ee9-01a4-472f-8e74-626a4607e6d1
Michael Wilson,ARI,LAR,WR,WR74,168,152.0,,-16,56346159-6e3e-4ec5-ab5b-4fa6e70a4aa9
Greg Dortch,ARI,LAR,WR,WR75,169,183.9,,14.9,79b314eb-c128-42af-81d1-74d02e202c73
Will Levis,TEN,JAX,QB,QB24,170,174.1,,4.1,1dab82ca-7aea-4818-b0e0-b56aae0f686f
Cole Kmet,CHI,SEA,TE,TE19,171,143.0,,-28,1a11d2ae-c4b1-400c-bf2e-d4dca13800e6
Khalil Herbert,CHI,SEA,RB,RB54,172,172.2,,0.2,b281e42f-9b24-4361-96c1-7ef192f20315
Bucky Irving,TB,CAR,RB,RB55,173,169.0,Rookie,-4,2cbcf238-c3f6-456f-966a-8c89943c11f2
Tyrone Tracy,NYG,IND,RB,RB56,174,191.3,Rookie,17.3,df951d37-812b-402b-8bf0-41a39a47f49a
Tyler Conklin,NYJ,BUF,TE,TE20,175,167.4,,-7.6,c1bf2279-8822-483c-a471-eca605165780
Jonnu Smith,MIA,CLE,TE,TE21,176,185.7,,9.7,d22c8282-2db7-48ec-ac2c-825f00eac244
