Id,Name,Position,Adp,Team,Wk17,P Rk,Rookie,Rank,+/-
727837,Jared Goff,QB,120.1,DET,DAL,QB17,,122,-1.9
912027,Darnell Mooney,WR,144.9,CHI,ATL,WR55,,123,21.9
835909,JuJu Smith-Schuster,WR,120.6,NE,BUF,WR56,,124,-3.4
1173538,Rashee Rice,WR,139.9,KC,CIN,WR57,Rookie,125,14.9
1122653,Romeo Doubs,WR,117.3,GB,MIN,WR58,,126,-8.7
401534,Russell Wilson,QB,129.5,DEN,LAC,QB18,,127,2.5
1213799,Marvin Mims,WR,158.2,DEN,LAC,WR59,Rookie,128,30.2
1135513,Dalton Kincaid,TE,112.3,BUF,NE,TE11,Rookie,129,-16.7
1130705,Kenneth Gainwell,RB,151.2,PHI,ARI,RB42,,130,21.2
563824,Jerick McKinnon,RB,117.7,KC,CIN,RB43,,131,-13.3
695311,Jamaal Williams,RB,117.1,NO,TB,RB44,,132,-14.9
1074698,Nico Collins,WR,114.5,HOU,TEN,WR60,,133,-18.5
837958,Allen Lazard,WR,115.8,NYJ,CLE,WR61,,134,-18.2
912070,Michael Gallup,WR,150.0,DAL,DET,WR62,,135,15.0
1176782,Jonathan Mingo,WR,167.4,CAR,JAX,WR63,Rookie,136,31.4
830523,Dalton Schultz,TE,128.6,HOU,TEN,TE12,,137,-8.4
323205,Matthew Stafford,QB,156.0,LA,NYG,QB19,,138,18.0
1168926,Sam LaPorta,TE,132.5,DET,DAL,TE13,Rookie,139,-6.5
879799,Kyler Murray,QB,164.6,ARI,PHI,QB20,,140,24.6
1131198,Tyler Allgeier,RB,145.9,ATL,CHI,RB45,,141,4.9
1121761,Brock Purdy,QB,150.5,SF,WAS,QB21,,142,8.5
1128085,Greg Dulcich,TE,158.0,DEN,LAC,TE14,,143,15.0
1106374,Chigoziem Okonkwo,TE,153.8,TEN,HOU,TE15,,144,9.8
496083,Derek Carr,QB,131.1,NO,TB,QB22,,145,-13.9
1163265,Roschon Johnson,RB,163.9,CHI,ATL,RB46,Rookie,146,17.9
884014,Damien Harris,RB,149.2,BUF,NE,RB47,,147,2.2
1107027,Alec Pierce,WR,170.9,IND,LV,WR64,,148,22.9
606501,Raheem Mostert,RB,134.3,MIA,BAL,RB48,,149,-14.7
1050833,Elijah Mitchell,RB,146.7,SF,WAS,RB49,,150,-3.3
884080,Van Jefferson,WR,165.4,LA,NYG,WR65,,151,14.4
1123398,Jayden Reed,WR,175.6,GB,MIN,WR66,Rookie,152,23.6
728338,Ezekiel Elliott,RB,142.0,FA,,RB50,,153,-11.0
1066765,Cole Kmet,TE,135.6,CHI,ATL,TE16,,154,-18.4
1130270,Rondale Moore,WR,141.5,ARI,PHI,WR67,,155,-13.5
604176,Tyler Higbee,TE,137.0,LA,NYG,TE17,,156,-19.0
944428,Irv Smith,TE,164.1,CIN,KC,TE18,,157,7.1
1169430,Tyjae Spears,RB,175.7,TEN,HOU,RB51,Rookie,158,17.7
834195,Jeffery Wilson,RB,173.0,MIA,BAL,RB52,,159,14.0
838487,Gerald Everett,TE,143.5,LAC,DEN,TE19,,160,-16.5
976924,Kenny Pickett,QB,149.4,PIT,SEA,QB23,,161,-11.6
912137,Jordan Love,QB,144.4,GB,MIN,QB24,,162,-17.6
1065361,Jake Ferguson,TE,169.5,DAL,DET,TE20,,163,6.5
822008,DJ Chark,WR,155.0,CAR,JAX,WR68,,164,-9.0
1179790,Luke Musgrave,TE,178.6,GB,MIN,TE21,Rookie,165,13.6
835443,D'Onta Foreman,RB,167.7,CHI,ATL,RB53,,166,1.7
1050234,Donovan Peoples-Jones,WR,161.6,CLE,NYJ,WR69,,167,-5.4
602241,DeVante Parker,WR,193.2,NE,BUF,WR70,,168,25.2
742382,Marquez Valdes-Scantling,WR,139.6,KC,CIN,WR71,,169,-29.4
503184,Taysom Hill,TE,182.5,NO,TB,TE22,,170,12.5
1110697,Zamir White,RB,171.4,LV,IND,RB54,,171,0.4
881058,K.J. Osborn,WR,137.2,MIN,GB,WR72,,172,-34.8
1213257,Bryce Young,QB,174.8,CAR,JAX,QB25,Rookie,173,1.8
1125737,Jerome Ford,RB,192.8,CLE,NYJ,RB55,,174,18.8
1213867,Kendre Miller,RB,187.0,NO,TB,RB56,Rookie,175,12.0
1062047,Chuba Hubbard,RB,197.0,CAR,JAX,RB57,,176,21.0
884083,Dawson Knox,TE,180.2,BUF,NE,TE23,,177,3.2
1232892,Jalin Hyatt,WR,169.4,NYG,LA,WR73,Rookie,178,-8.6
975387,Isaiah Hodgins,WR,153.1,NYG,LA,WR74,,179,-25.9
1214084,C.J. Stroud,QB,191.7,HOU,TEN,QB26,Rookie,180,11.7
841649,Hunter Renfrow,WR,186.9,LV,IND,WR75,,181,5.9
744425,Hunter Henry,TE,198.3,NE,BUF,TE24,,182,16.3
733643,Adam Thielen,WR,149.8,CAR,JAX,WR76,,183,-33.2
880557,Darius Slayton,WR,204.0,NYG,LA,WR77,,184,20.0
1059684,Desmond Ridder,QB,200.6,ATL,CHI,QB27,,185,15.6
884609,Juwan Johnson,TE,159.7,NO,TB,TE25,,186,-26.3
821389,Curtis Samuel,WR,175.6,WAS,SF,WR78,,187,-11.4
916466,Devin Singletary,RB,170.0,HOU,TEN,RB58,,188,-18.0
923412,Rashid Shaheed,WR,190.5,NO,TB,WR79,,189,1.5
973945,Mac Jones,QB,197.6,NE,BUF,QB28,,190,7.6
1123529,Michael Wilson,WR,218.7,ARI,PHI,WR80,,191,27.7
1232592,Michael Mayer,TE,189.3,LV,IND,TE26,Rookie,192,-2.7
822013,Leonard Fournette,RB,217.0,FA,,RB59,,193,24.0
861278,Tyler Conklin,TE,196.6,NYJ,CLE,TE27,,194,2.6
555693,Robert Woods,WR,215.6,HOU,TEN,WR81,,195,20.6
739799,Gus Edwards,RB,185.2,BAL,MIA,RB60,,196,-10.8
881956,Hayden Hurst,TE,200.9,CAR,JAX,TE28,,197,3.9
1110725,Justyn Ross,WR,206.1,KC,CIN,WR82,,198,8.1
1125111,Isaiah Likely,TE,210.6,BAL,MIA,TE29,,199,11.6
922026,Mecole Hardman,WR,202.9,NYJ,CLE,WR83,,200,2.9
1160348,John Metchie,WR,198.2,HOU,TEN,WR84,,201,-2.8
1128222,Nathaniel Dell,WR,185.8,HOU,TEN,WR85,Rookie,202,-16.2
1215077,Josh Downs,WR,221.2,IND,LV,WR86,Rookie,203,18.2
1106760,Tutu Atwell,WR,229.9,LA,NYG,WR87,,204,25.9
380960,Ryan Tannehill,QB,198.5,TEN,HOU,QB29,,205,-6.5
1168245,Sam Howell,QB,172.4,WAS,SF,QB30,,206,-33.6
836104,Parris Campbell,WR,198.7,NYG,LA,WR88,,207,-8.3
1167361,Kyren Williams,RB,227.3,LA,NYG,RB61,,208,19.3
1166545,Deonte Harty,WR,229.9,BUF,NE,WR89,,209,20.9
746613,Kareem Hunt,RB,195.1,FA,,RB62,,210,-14.9
