id,name,position,adp,team
852,DeVante Parker,,,
1001045,Michael Wilson,,,
1492,Robert Woods,,,
1483,Josh Reynolds,,,
1279,Corey Davis,,,
1001025,Wan'Dale Robinson,,,
1002865,Tyler Scott,,,
1071,Tim Patrick,,,
7902,Chase Claypool,,,
10067,Terrace Marshall,,,
7895,Clyde Edwards-Helaire,,,
873,Jimmy Garoppolo,,,
5121,Russell Gage,,,
1002860,Eric Gray,,,
1001066,Cade Otton,,,
1003178,Puka Nacua,,,
1000976,Kyren Williams,,,
7126,Noah Fant,,,
1002861,Israel Abanikanda,,,
828,Logan Thomas,,,
7197,Foster Moreau,,,
5067,Braxton Berrios,,,
1002811,Zach Evans,,,
1003146,Evan Hull,,,
1039,Cordarrelle Patterson,,,
1002856,Cedric Tillman,,,
5424,Chase Edmonds,,,
1001201,Keaontay Ingram,,,
1002821,DeWayne McBride,,,
5309,Boston Scott,,,
5261,Baker Mayfield,,,
7154,Mecole Hardman,,,
1003225,Charlie Jones,,,
1608,Marvin Jones,,,
7907,Joshua Kelley,,,
10088,Trey Lance,,,
10496,Joshua Palmer,,,
1265,Allen Robinson,,,
1002822,Deuce Vaughn,,,
7351,Greg Dortch,,,
1377,Zach Ertz,,,
10049,Michael Carter,,,
1678,Latavius Murray,,,
1370,Nelson Agholor,,,
5232,Mike White,,,
8228,James Robinson,,,
1500,Matt Breida,,,
1003384,Deneric Prince,,,
1704,Austin Hooper,,,
1000994,Tyler Badie,,,
7230,Olamide Zaccheaus,,,
1361,Sterling Shepard,,,
1381,Mack Hollins,,,
1002858,Xavier Hutchinson,,,
7939,Quez Watkins,,,
1001269,Jordan Mason,,,
7897,Zack Moss,,,
1000977,Isaiah Spiller,,,
5442,Trent Sherfield,,,
7317,Deonte Harty,,,
1001075,Daniel Bellinger,,,
1645,Ty Montgomery,,,
7887,Laviska Shenault,,,
1002791,Will Levis,,,
1002804,Kayshon Boutte,,,
1499,Kendrick Bourne,,,
1001234,Kyle Philips,,,
