"Player","Team","Position","ETR Rank","ETR Pos Rank","ADP","ADP Pos Rank","ADP Differential",
"Pat Freiermuth","PIT","TE","89","TE9","96.5","TE10","7.5",
"Zay Flowers","BAL","WR","90","WR43","118.8","WR47","28.8",
"Trevor Lawrence","JAX","QB","91","QB9","56.5","QB8","-34.5",
"Antonio Gibson","WAS","RB","92","RB31","111.3","RB36","19.3",
"Treylon Burks","TEN","WR","93","WR44","103.0","WR41","10.0",
"A.J. Dillon","GB","RB","94","RB32","93.3","RB32","-0.8",
"Samaje Perine","DEN","RB","95","RB33","115.8","RB37","20.8",
"James Conner","ARI","RB","96","RB34","65.5","RB23","-30.5",
"David Njoku","CLE","TE","97","TE10","85.3","TE9","-11.8",
"Zach Charbonnet","SEA","RB","98","RB35","116.8","RB38","18.8",
"Daniel Jones","NYG","QB","99","QB10","120.8","QB15","21.8",
"Brian Robinson","WAS","RB","100","RB36","108.8","RB35","8.8",
"Khalil Herbert","CHI","RB","101","RB37","101.8","RB33","0.8",
"JuJu Smith-Schuster","NE","WR","102","WR45","108.5","WR45","6.5",
"Jakobi Meyers","LV","WR","103","WR46","149.8","WR54","46.8",
"Jaylen Warren","PIT","RB","104","RB38","172.5","RB51","68.5",
"Skyy Moore","KC","WR","105","WR47","137.3","WR49","32.3",
"Tyler Boyd","CIN","WR","106","WR48","156.3","WR56","50.3",
"Anthony Richardson","IND","QB","107","QB11","117.8","QB14","10.8",
"Elijah Moore","CLE","WR","108","WR49","149.3","WR53","41.3",
"Tua Tagovailoa","MIA","QB","109","QB12","91.5","QB11","-17.5",
"Dalton Kincaid","BUF","TE","110","TE11","126.8","TE13","16.8",
"Michael Thomas","NO","WR","111","WR50","105.0","WR42","-6.0",
"Zay Jones","JAX","WR","112","WR51","176.3","WR61","64.3",
"Kadarius Toney","KC","WR","113","WR52","116.8","WR46","3.8",
"Kirk Cousins","MIN","QB","114","QB13","107.3","QB13","-6.8",
"Rashod Bateman","BAL","WR","115","WR53","155.3","WR55","40.3",
"Allen Lazard","NYJ","WR","116","WR54","140.5","WR51","24.5",
"Dalton Schultz","HOU","TE","117","TE12","118.0","TE11","1.0",
"Jerick McKinnon","KC","RB","118","RB39","123.5","RB39","5.5",
"Dak Prescott","DAL","QB","119","QB14","87.5","QB10","-31.5",
"Nico Collins","HOU","WR","120","WR55","174.0","WR58","54.0",
"Tyler Higbee","LAR","TE","121","TE13","139.3","TE14","18.3",
"Chigoziem Okonkwo","TEN","TE","122","TE14","147.8","TE15","25.8",
"Elijah Mitchell","SF","RB","123","RB40","141.0","RB43","18.0",
"Tank Bigsby","JAX","RB","124","RB41","173.5","RB52","49.5",
"Gerald Everett","LAC","TE","125","TE15","161.3","TE16","36.3",
"De'Von Achane","MIA","RB","126","RB42","135.3","RB40","9.3",
"Geno Smith","SEA","QB","127","QB15","120.8","QB15","-6.3",
"Romeo Doubs","GB","WR","128","WR56","175.0","WR60","47.0",
"Sam LaPorta","DET","TE","129","TE16","172.0","TE19","43.0",
"Greg Dulcich","DEN","TE","130","TE17","165.0","TE18","35.0",
"Darnell Mooney","CHI","WR","131","WR57","174.3","WR59","43.3",
"Kenneth Gainwell","PHI","RB","132","RB43","194.3","RB57","62.3",
"Irv Smith","CIN","TE","133","TE18","214.8","TE26","81.8",
"Damien Harris","BUF","RB","134","RB44","167.3","RB49","33.3",
"Raheem Mostert","MIA","RB","135","RB45","153.0","RB44","18.0",
"Van Jefferson","LAR","WR","136","WR58","215.5","WR71","79.5",
"Jake Ferguson","DAL","TE","137","TE19","219.0","TE27","82.0",
"Rashee Rice","KC","WR","138","WR59","192.0","WR66","54.0",
"Jayden Reed","GB","WR","139","WR60","231.0","WR76","92.0",
"Odell Beckham","BAL","WR","140","WR61","102.8","WR40","-37.3",
"Aaron Rodgers","NYJ","QB","141","QB16","103.5","QB12","-37.5",
"Marquez Valdes-Scantling","KC","WR","142","WR62","208.3","WR69","66.3",
"Tyjae Spears","TEN","RB","143","RB46","211.7","RB64","68.7",
"Juwan Johnson","NO","TE","144","TE20","163.5","TE17","19.5",
"Luke Musgrave","GB","TE","145","TE21","206.3","TE24","61.3",
"Dawson Knox","BUF","TE","146","TE22","191.5","TE20","45.5",
"Marvin Mims","DEN","WR","147","WR63","242.0","WR79","95.0",
"Jeffery Wilson","MIA","RB","148","RB47","153.5","RB45","5.5",
"K.J. Osborn","MIN","WR","149","WR64","188.3","WR63","39.3",
"Rashaad Penny","PHI","RB","150","RB48","135.3","RB40","-14.8",
"D.J. Chark","CAR","WR","151","WR65","192.8","WR67","41.8",
"Dallas Cowboys","DAL","DST","152","DST1","123.0","DST4","-29.0",
"Adam Thielen","CAR","WR","153","WR66","138.8","WR50","-14.3",
"Tyler Allgeier","ATL","RB","154","RB49","159.5","RB47","5.5",
"Devin Singletary","HOU","RB","155","RB50","156.0","RB46","1.0",
"Hayden Hurst","CAR","TE","156","TE23","223.5","TE28","67.5",
"Jonathan Mingo","CAR","WR","157","WR67","191.7","WR65","34.7",
"Michael Gallup","DAL","WR","158","WR68","188.5","WR64","30.5",
"Rondale Moore","ARI","WR","159","WR69","179.5","WR62","20.5",
"Jamaal Williams","NO","RB","160","RB51","103.8","RB34","-56.3",
