ID,Name,Position,ADP,Team
830517,Christian McCaffrey,RB,1.281877,SF
1062020,CeeDee Lamb,WR,2.4240527,DAL
823156,Tyreek Hill,WR,2.775898,MIA
1069535,Justin Jefferson,WR,6.296504,MIN
1109979,Ja'Marr Chase,WR,4.629028,CIN
1127106,Amon-Ra St. Brown,WR,5.133336,DET
1228244,Bijan Robinson,RB,7.0625954,ATL
1162537,Breece Hall,RB,7.4516916,NYJ
1164889,Garrett Wilson,WR,10.52475,NYJ
944826,A.J. Brown,WR,9.166901,PHI
1214154,Jahmyr Gibbs,RB,11.798282,DET
1162128,Puka Nacua,WR,12.907941,LAR
1287828,Marvin Harrison Jr.,WR,13.643083,ARI
611417,Davante Adams,WR,20.399416,LV
1074698,Nico Collins,WR,18.474081,HOU
1065406,Jonathan Taylor,RB,15.11854,IND
1122592,Chris Olave,WR,22.814808,NO
1178741,Drake London,WR,16.886385,ATL
698227,Cooper Kupp,WR,22.615788,LAR
1231820,De'Von Achane,RB,18.875069,MIA
883302,Saquon Barkley,RB,14.69229,PHI
978577,Travis Etienne Jr.,RB,31.38512,JAX
448240,Travis Kelce,TE,28.795155,KC
835749,Deebo Samuel Sr.,WR,21.230448,SF
1125749,Jaylen Waddle,WR,25.035608,MIA
732145,Derrick Henry,RB,22.25879,BAL
1168926,Sam LaPorta,TE,35.073578,DET
877790,DJ Moore,WR,34.305252,CHI
1286059,Malik Nabers,WR,28.188475,NYG
593587,Mike Evans,WR,26.472076,TB
911348,Michael Pittman Jr.,WR,37.28778,IND
1060262,DeVonta Smith,WR,28.515196,PHI
1107034,Brandon Aiyuk,WR,31.546923,SF
945633,DK Metcalf,WR,33.98241,SEA
868199,Josh Allen,QB,36.07226,BUF
1106832,Isiah Pacheco,RB,31.948738,KC
913271,Jalen Hurts,QB,39.5078,PHI
694041,Stefon Diggs,WR,37.520393,HOU
1167361,Kyren Williams,RB,20.602406,LAR
650914,Amari Cooper,WR,45.07706,CLE
865801,Christian Kirk,WR,50.958,JAX
1177053,Zay Flowers,WR,41.402725,BAL
877745,Lamar Jackson,QB,43.289234,BAL
839031,Patrick Mahomes,QB,40.253338,KC
1108161,Trey McBride,TE,46.718956,ARI
820699,Mark Andrews,TE,53.305233,BAL
978579,Tee Higgins,WR,51.54482,CIN
1131012,James Cook,RB,47.8074,BUF
1229343,Rachaad White,RB,49.720833,TB
1214084,C.J. Stroud,QB,56.497936,HOU
836116,Terry McLaurin,WR,55.808937,WAS
1164402,Kenneth Walker III,RB,63.679688,SEA
1135513,Dalton Kincaid,TE,51.986263,BUF
1173538,Rashee Rice,WR,57.002403,KC
