ID,AGE,ADP
16771,27,1.3
14967,29,3.1
16847,30,3.3
17923,26,4.6
11056,33,4.7
18878,26,5.7
19766,24,6.9
18803,27,8.8
16776,28,9.3
14986,29,9.5
18944,26,11
16389,29,11.5
18877,25,12.6
13291,32,14.3
18872,26,15.1
17960,28,16.2
15076,29,17.6
16470,29,18.1
16524,29,19.5
18067,27,20
12845,33,21.3
10974,32,21.5
18858,25,22.8
18082,27,24
16597,28,25.5
16906,28,25.6
14005,32,27
19823,25,27.8
15048,32,28.2
11932,33,29.8
2593,38,30
18088,27,30.9
16765,27,31
18003,27,32
15534,31,33.5
5571,38,35.2
13791,30,36.6
13460,33,38.4
14856,31,38.9
16020,29,39
18883,25,39.4
17959,28,41
14828,34,42.1
16909,28,44
14587,30,44.1
11611,33,45.5
18857,26,46.5
13337,32,47.2
11197,34,47.3
14865,31,48.3
11488,35,48.4
4314,44,50.9
16668,31,51.6
16568,28,52
12386,35,52.5
16263,28,53.6
12708,31,55.1
18995,26,56.7
1658,36,57.1
11063,34,57.9
14536,33,61
18879,27,61.2
13870,31,61.9
19822,24,62.9
15965,30,63.4
14917,31,64.9
7242,43,65.9
8355,35,67.1
19119,27,67.2
18375,27,68.5
13320,32,69.4
18912,27,69.6
9331,34,70.9
17916,27,73.2
18882,28,74.7
13275,32,75.1
15102,31,75.3
7175,37,76.2
16834,28,76.6
4807,36,79.5
14252,33,80.3
16866,28,81.6
14187,31,82.7
14008,32,83.1
19828,26,84.1
19003,26,85.4
18187,28,85.8
15100,31,88
19799,25,88.2
16802,27,89.4
17920,29,90.6
16127,29,91.3
16781,28,92.7
18998,25,93.4
13227,31,93.7
52,,93.8
18876,25,94.9
9038,33,95.1
16003,28,95.2
4556,36,96.7
19045,27,96.9
16838,28,97.9
16041,30,98.1
16056,29,99.4
14871,29,101.2
18914,27,101.2
32,,102
8244,40,104.7
15196,29,107.5
14269,33,107.8
17961,28,107.9
732,36,108.8
12800,33,111.4
67,,111.6
19514,28,112
19319,26,112.2
6767,35,112.3
3807,39,114.1
19861,24,115.1
15602,31,115.5
16550,30,118
84,,118.3
26,,118.8
18890,26,119
19802,27,121.2
16640,31,122.7
17922,27,123.2
15071,32,127.6
19867,25,127.7
36,,128.3
16253,30,128.7
13,,129.4
19798,26,129.4
19548,27,129.6
16830,29,131.2
6739,37,131.5
19063,28,132.4
19844,24,133.8
15020,30,134.6
18880,25,135.3
16763,28,135.8
18977,28,135.8
49,,137.4
16855,29,138
38,,139.9
18269,28,140.3
16311,30,140.5
14697,34,144.3
19864,27,144.5
69,,144.6
19979,27,144.6
14916,30,145.7
15239,31,145.8
18983,26,147.6
2982,37,148.4
14918,31,148.9
18992,28,149.3
17167,29,150.6
18881,26,152.3
14688,32,152.5
16762,28,152.6
17963,27,152.9
19917,25,154
3943,35,154.1
19410,26,154.9
16593,30,155.6
17969,28,156.1
18055,28,156.3
4932,41,156.3
18451,29,156.4
18993,26,156.4
16775,29,156.5
19912,25,156.7
12296,35,156.9
19853,26,157.1
18901,27,157.2
12831,32,157.3
15215,31,157.6
18971,26,157.7
9906,36,158
16608,29,158
18957,25,158
17970,29,158.2
19957,25,158.2
11667,37,158.6
21,,158.7
16694,29,158.7
12751,32,158.7
14385,33,158.7
16451,28,159
16063,29,159.1
19843,28,159.1
11756,41,159.3
13878,32,159.4
19824,26,159.7
14141,32,160.3
19863,27,160.3
16797,28,160.5
17939,29,160.6
15126,30,160.9
18478,27,161.1
11182,34,161.2
13788,32,161.9
5820,38,161.9
19865,25,162.1
18811,27,162.2
12239,33,162.3
16112,29,162.5
17048,29,163.2
12841,34,163.8
5,,163.9
19800,26,163.9
16146,30,164
19815,25,164.2
15150,30,164.4
16245,29,164.5
19562,26,164.9
15261,30,165
3388,46,165.2
28,,165.2
1,,165.5
19790,26,165.8
19989,27,166
48,,166.4
2,,166.5
15694,33,166.6
16191,30,166.7
12,,166.8
19073,26,167.1
19781,25,167.2
34,,167.3
55,,169.2
19041,27,169.4
8,,169.7
1694,37,170.1
11,,170.6
13109,33,171.1
1410,39,171.6
549,37,171.8
3258,49,172.8
14996,30,173
97,,173
15088,32,174
8750,35,174.2
14740,34,174.2
10333,34,174.4
16308,29,175
16411,31,176
8529,35,177
90,,178
11463,35,178
12109,36,179
16141,29,180
83,,181
18926,26,181
64,,182
7,,183
93,,184
13957,32,184
14,,185
37,,186
19897,26,186
95,,187
82,,188
75,,189
16232,28,189
13693,32,190
14749,31,191
13887,32,192
6198,38,194
17290,28,195
16326,30,196
19064,27,199
16919,29,200
16129,30,202
16276,30,205
18361,28,207
19109,27,208
18928,25,210
14352,32,212
16609,31,213
14901,30,216
13799,33,217
16886,30,218
18954,27,219
18996,27,220
12794,33,221
19816,25,223
18690,28,224
19937,25,225
17964,29,226
17938,27,228
19017,26,229
19085,29,230
19854,26,232
19919,25,233
18285,28,234
18103,29,235
611,37,236
16887,28,237
