ID,AGE,ADP
4807,36,1.8
11056,33,2.5
14967,29,3.1
15138,31,4
7969,35,4.5
13291,32,6.2
11270,33,7.6
12386,35,8.6
11197,34,9.1
10974,32,10.3
15020,30,10.7
16389,29,11.4
6029,36,13.1
2699,36,13.7
16112,29,14.4
13227,31,15.9
12845,33,16.7
14008,32,16.9
13124,33,17.6
9369,36,19.3
16568,28,20.6
13791,30,22.3
14005,32,22.8
11932,33,24.4
15974,29,24.4
14187,31,26.1
2593,38,27.1
5820,38,27.7
14986,29,28.7
16597,28,30
13337,32,31
11063,34,31.9
15071,32,33.3
11488,35,33.5
16470,29,34.6
16020,29,36.6
11792,35,37.5
2429,40,37.7
14385,33,38
8914,33,38.8
16765,27,40.8
16815,28,41.5
8355,35,41.9
11611,33,43.5
15224,32,43.7
16668,31,44.7
1658,36,45.1
12239,33,47.6
14269,33,48.2
15076,29,48.7
11667,37,50.5
15048,32,50.6
16776,28,51.8
5451,34,53
16263,28,53.5
7328,45,54.9
15085,30,56.6
16781,28,56.6
7242,43,56.8
10949,34,57.9
16771,27,60.2
1181,35,60.3
15141,32,61.6
16003,28,62.5
16797,28,63.1
3807,39,63.8
16640,31,64.3
4314,44,67
16146,30,67.2
12296,35,68.5
14536,33,68.7
12317,36,69
3519,39,70.1
4358,42,72.1
3943,35,74
14916,30,75.5
12861,33,76.9
12780,32,77.9
732,36,78.2
11256,34,78.9
12323,35,80.5
3867,41,80.8
8649,36,81.7
11527,34,82.1
722,39,83.7
5571,38,84.1
7389,35,84.6
8066,34,84.6
16189,30,86.4
13957,32,88
16834,28,88.9
13799,33,89.1
1810,39,89.7
8529,35,89.9
12246,35,91.3
14973,30,94.1
9038,33,94.6
16127,29,95.4
14918,31,95.5
16802,27,96.1
16524,29,96.3
11712,41,97.3
7175,37,98
16178,29,100.2
90,,101.3
2950,35,101.3
16838,28,101.8
11182,34,105.3
4932,41,105.9
6198,38,106.4
14424,32,106.8
204,40,109
16626,28,109
16775,29,109.5
13275,32,110.5
37,,111.3
15088,32,112.4
8244,40,113.3
14046,30,114
13,,116.3
16847,30,118
5094,38,118.3
13320,32,119.1
6767,35,119.3
64,,120.4
15045,30,121.2
16497,29,122.5
16567,29,123.6
16856,26,124.4
14478,32,126.2
14856,31,126.2
32,,127
2428,42,128.4
7580,38,129.1
4640,36,129.5
16855,29,129.5
16898,28,130.4
13027,33,130.5
12830,32,130.6
13870,31,133.9
82,,135
9331,34,135.6
26,,138.9
11463,35,139.6
16830,29,140.2
7884,41,140.4
49,,140.7
13163,33,142.7
13987,31,145.1
16787,28,145.4
2982,37,145.7
16934,29,145.8
611,37,146
16801,28,147
13443,34,147.5
14242,30,147.7
3258,49,148.1
13460,33,148.4
15256,31,148.8
5701,40,149.9
16609,31,150.3
5084,37,150.3
15565,31,150.9
16491,30,151.6
1,,152.7
16253,30,153.9
16790,29,153.9
6302,37,153.9
15018,31,154.2
12831,32,154.5
16402,29,154.8
8972,38,155.7
5,,156.2
12506,35,156.5
15866,31,156.5
12594,36,156.8
15645,32,156.8
16236,29,158.2
15100,31,158.4
16608,29,158.8
55,,159.7
9079,33,160.6
16278,29,161
13109,33,161.2
15196,29,162
16763,28,162.6
16480,30,163.1
16311,30,163.2
14688,32,163.5
1694,37,163.6
21,,164
36,,166.5
67,,167.6
14,,167.7
14996,30,168.1
3388,46,170.5
549,37,171.4
3253,43,171.9
6902,39,172.4
14697,34,173
14463,32,173.7
