ID,NAME,POS,FPTS/G,FPTS,PPGOR
9369,Justin Forsett,RB,12.8,128.4,0.280952381
12830,Torrey Smith,WR,8,128.3,-6.82
14053,Brock Osweiler,QB,15.8,126.78,-4.9
12296,LeGarrette Blount,RB,10.5,125.6,-2.019047619
16056,James White,RB,9,125.6,-3.519047619
8532,Kenny Britt,WR,7.8,125.1,-7.02
12751,Charles Clay,TE,9.6,124.8,-2.647619048
13027,Julius Thomas,TE,10.4,124.5,-1.847619048
16856,Matt Jones,RB,9.6,124.4,-2.919047619
5094,Marques Colston,WR,9.5,124,-5.32
11488,Jimmy Graham,TE,11.2,123.5,-1.047619048
13997,Coby Fleener,TE,7.7,123.1,-4.547619048
13443,Colin Kaepernick,QB,13.6,122.2,-7.1
14871,Robert Woods IR,WR,8.7,122.2,-6.12
16189,Alfred Blue,RB,7.6,121.7,-4.919047619
6828,Chris Johnson,RB,11,121.2,-1.519047619
12708,Dion Lewis,RB,17.3,121.2,4.780952381
14967,Le'Veon Bell,RB,20,120.2,7.480952381
16815,Ameer Abdullah,RB,7.4,119,-5.119047619
16801,Dorial Green-Beckham,WR,7.4,118.9,-7.42
1810,Owen Daniels,TE,7.4,118.7,-4.847619048
2429,Andre Johnson,WR,7.2,115.3,-7.62
16326,Seth Roberts,WR,7.2,115,-7.62
1181,Martellus Bennett,TE,10.4,114.9,-1.847619048
7328,Peyton Manning,QB,11.4,114.36,-9.3
8330,Brian Hartline,WR,9.4,113.3,-5.42
16163,Antonio Andrews,RB,8.1,113.04,-4.419047619
13117,Dwayne Harris,WR,7.5,112.8,-7.32
2950,Steve Johnson,WR,11.3,112.7,-3.52
16776,Melvin Gordon III,RB,8,112.3,-4.519047619
13002,Cecil Shorts,WR,10.1,110.94,-4.72
12415,Zach Miller,TE,7.4,110.9,-4.847619048
16802,Devin Funchess,WR,6.9,110.3,-7.92
3519,Vincent Jackson,WR,11,110.3,-3.82
16135,Johnny Manziel,QB,12.1,109,-8.6
3943,DeSean Jackson,WR,10.9,108.8,-3.92
13723,Nick Foles,QB,9.8,108.08,-10.9
14122,Ladarius Green,TE,8.3,107.9,-3.947619048
4104,Jerricho Cotchery,WR,7.6,107.1,-7.22
16470,Davante Adams,WR,8.2,106.3,-6.62
7969,Jamaal Charles,RB,21.2,106.1,8.680952381
12323,Joique Bell,RB,8.1,105.7,-4.419047619
17754,Will Tye,TE,8.1,105.4,-4.147619048
16553,Corey Brown,WR,6.9,103.5,-7.92
7711,Malcom Floyd,WR,6.9,103.1,-7.92
14269,Alfred Morris,RB,6.4,102.6,-6.119047619
16083,Crockett Gillmore,TE,10.1,101.2,-2.147619048
1034,Matt Hasselbeck,QB,12.6,101.1,-8.1
16775,DeVante Parker,WR,6.7,100.9,-8.12
16728,Dontrelle Inman,WR,7.2,100.6,-7.62
204,Roddy White,WR,6.2,99.6,-8.62
13957,Kendall Wright,WR,10,99.5,-4.82
8529,Mike Wallace,WR,6.2,98.9,-8.62
14901,Kyle Juszczyk,FB,6.1,97.4,0
16308,Albert Wilson,WR,6.8,94.7,-8.02
11220,Dexter McCluster,RB,7.8,93.7,-4.719047619
14828,Chris Hogan,WR,5.8,93.56,-9.02
15102,Chris Thompson,RB,7.1,92.6,-5.419047619
11463,Brandon LaFell,WR,8.4,92.4,-6.42
11270,Dez Bryant,WR,10.2,92.1,-4.62
12861,Jordan Cameron,TE,5.7,91.6,-6.547619048
13878,Mohamed Sanu Sr. IR,WR,5.7,91.5,-9.12
2262,Tim Hightower,RB,11.2,89.4,-1.319047619
15196,Kenny Stills,WR,5.6,89,-9.22
6768,Lance Moore,WR,6.3,88.7,-8.52
8534,Jared Cook,TE,5.5,88.1,-6.747619048
5511,Brent Celek,TE,5.5,87.8,-6.747619048
6211,Harry Douglas,WR,6.2,87.5,-8.62
16567,Brandon Coleman,WR,5.5,87.4,-9.32
15261,Spencer Ware,RB,7.8,85.8,-4.719047619
12386,Marshawn Lynch,RB,12.2,85.7,-0.319047619
14719,Jonathan Grimes,RB,6.1,85.5,-6.419047619
16668,Carlos Hyde,RB,12,84.3,-0.519047619
16510,Jerick McKinnon,RB,5.2,83.4,-7.319047619
15118,Marquess Wilson,WR,7.6,83.4,-7.22
4738,Mike Tolbert,FB,5.2,83,0
16608,Austin Seferian-Jenkins,TE,11.7,81.8,-0.547619048
10949,CJ Spiller,RB,6.2,81.1,-6.319047619
15239,Vance McDonald,TE,5.8,80.6,-6.447619048
14465,Jarius Wright,WR,5,80.1,-9.82
13162,Leonard Hankerson,WR,8,79.7,-6.82
16829,Clive Walford,TE,4.9,78.9,-7.347619048
5701,Fred Jackson,RB,4.9,78.7,-7.619047619
3382,Marcel Reece,FB,5.2,78.5,0
11792,Arian Foster,RB,19.5,78,6.980952381
13158,Shaun Draughn,RB,7.1,77.9,-5.419047619
5084,Vernon Davis,TE,5.2,77.5,-7.047619048
12771,Ryan Mallett,QB,9.6,76.94,-11.1
15971,Josh Huff,WR,5.1,76.2,-9.72
15241,Quinton Patton,WR,4.7,75.9,-10.12
15224,Andre Ellington,RB,7.6,75.7,-4.919047619
13595,Bryan Walters,WR,6.8,74.8,-8.02
15085,Joseph Randle,RB,12.4,74.1,-0.119047619
8723,Matt Cassel,QB,7.4,73.84,-13.3
12548,Scott Chandler,TE,4.9,72.9,-7.347619048
13735,Chris Polk,RB,4.8,72.3,-7.719047619
15645,Khiry Robinson,RB,8.8,70.5,-3.719047619
15247,Darren Fells,TE,5,70.1,-7.247619048
16593,Cameron Brate,TE,5,69.8,-7.247619048
13741,Brandon Bolden,RB,4.6,69.7,-7.919047619
13910,Brandon Weeden,QB,11.6,69.42,-9.1
15018,Denard Robinson,RB,5.3,69,-7.219047619
16080,Jeremy Butler,WR,8.4,67.3,-6.42
1545,Anthony Fasano,TE,4.2,66.9,-8.047619048
7389,Eddie Royal,WR,7.4,66.7,-7.42
15072,Mychal Rivera,TE,4.1,66,-8.147619048
11313,Riley Cooper,WR,4.1,65.7,-10.72
15207,Benjamin Cunningham,RB,4.1,65,-8.419047619
16816,Maxx Williams,TE,4.6,64.8,-7.647619048
8771,Darrius Heyward-Bey,WR,4,64.4,-10.82
15782,Larry Donnell,TE,7.9,63.3,-4.347619048
14405,Chris Givens,WR,3.9,63.1,-10.92
13974,Keshawn Martin,WR,6.9,62.5,-7.92
16411,Ryan Grant,WR,3.9,61.8,-10.92
13386,Lance Kendricks,TE,4.1,61.5,-8.147619048
17290,Adam Humphries,WR,4.5,59,-10.32
16116,AJ McCarron,QB,8.3,58.26,-12.4
16178,Bishop Sankey,RB,4.5,58.2,-8.019047619
13264,Andre Holmes,WR,3.6,58.1,-11.22
