ID,NAME,POS,FPTS/G,FPTS,PPGOR
18877,Christian McCaffrey,RB,31,495.2,16.84418605
19781,Lamar Jackson,QB,29.4,441.68,9.42962963
17960,Michael Thomas,WR,25.3,404.6,11.65967742
16762,Jameis Winston,QB,23.3,373.36,3.32962963
18055,Dak Prescott,QB,23.2,371.78,3.22962963
18857,Deshaun Watson,QB,23,344.98,3.02962963
14536,Russell Wilson,QB,21.5,344.6,1.52962963
19045,Aaron Jones,RB,20.9,334.8,6.744186047
17923,Ezekiel Elliott,RB,20.9,334.7,6.744186047
19562,Austin Ekeler,RB,20.2,323,6.044186047
732,Matt Ryan,QB,21.3,319.34,1.32962963
17959,Derrick Henry,RB,21,315.6,6.844186047
18890,Patrick Mahomes,QB,22.5,315.04,2.52962963
20889,Kyler Murray,QB,19.6,314.28,-0.37037037
18872,Dalvin Cook,RB,22.1,309.4,7.944186047
17920,Carson Wentz,QB,19.1,304.86,-0.87037037
19801,Josh Allen,QB,18.8,301.56,-1.17037037
2593,Aaron Rodgers,QB,18.6,298.38,-1.37037037
18880,Chris Godwin IR,WR,21,294.1,7.359677419
13291,Julio Jones,WR,19.5,292.1,5.859677419
4314,Tom Brady,QB,18,287.68,-1.97037037
17922,Jared Goff,QB,17.9,286.52,-2.07037037
18882,Cooper Kupp,WR,17.8,285.5,4.159677419
14986,DeAndre Hopkins,WR,19,284.54,5.359677419
8244,Philip Rivers,QB,17.7,282.5,-2.27037037
19798,Nick Chubb,RB,17.4,279.2,3.244186047
16041,Jimmy Garoppolo,QB,17.1,274.32,-2.87037037
18803,Leonard Fournette,RB,18,269.4,3.844186047
8283,Ryan Fitzpatrick,QB,17.9,268.46,-2.07037037
15076,Keenan Allen,WR,16.7,267.5,3.059677419
8355,Julian Edelman,WR,16.6,266.28,2.959677419
14252,Kirk Cousins,QB,17.7,265.42,-2.27037037
18977,Kenny Golladay,WR,16.5,264,2.859677419
16263,Allen Robinson II,WR,16.5,263.9,2.859677419
15048,Travis Kelce,TE,16.3,261.3,4.042857143
19790,Baker Mayfield,QB,16.3,261.18,-3.67037037
16765,Amari Cooper,WR,16.2,258.5,2.559677419
16311,Derek Carr,QB,16.1,258.36,-3.87037037
16775,DeVante Parker,WR,16.1,258.2,2.459677419
13337,Mark Ingram II,RB,17.1,256.5,2.944186047
19766,Saquon Barkley,RB,19.7,256.1,5.544186047
19119,Chris Carson,RB,17,254.6,2.844186047
20841,Daniel Jones,QB,19.5,252.98,-0.47037037
18878,Alvin Kamara,RB,17.8,249.52,3.644186047
20880,Gardner Minshew,QB,17.7,248.24,-2.27037037
16830,Tyler Lockett,WR,15.4,247.2,1.759677419
7242,Drew Brees,QB,22.2,243.76,2.22962963
19844,DJ Moore,WR,16.2,243.5,2.559677419
16020,Jarvis Landry,WR,15.2,243.4,1.559677419
13799,Ryan Tannehill,QB,20.2,242.18,0.22962963
14871,Robert Woods IR,WR,16.1,241.9,2.459677419
16597,Mike Evans,WR,18.6,241.7,4.959677419
18018,Jacoby Brissett,QB,15.8,237.68,-4.17037037
18858,Joe Mixon,RB,14.8,237.4,0.644186047
16964,Darren Waller,TE,14.8,237,2.542857143
17986,Tyler Boyd,WR,14.8,236.9,1.159677419
19816,DJ Chark Jr.,WR,15.7,234.8,2.059677419
12841,Andy Dalton,QB,18,233.66,-1.97037037
21042,A.J. Brown,WR,14.5,232.1,0.859677419
19063,George Kittle,TE,16.5,231.5,4.242857143
16906,Stefon Diggs,WR,15.3,230.1,1.659677419
16470,Davante Adams,WR,19.1,228.7,5.459677419
19800,Courtland Sutton,WR,14.3,228.42,0.659677419
16640,John Brown,WR,15.1,225.82,1.459677419
19867,Michael Gallup,WR,16,224.7,2.359677419
18003,Kenyan Drake,RB,16,224.2,1.844186047
20933,Miles Sanders,RB,13.9,222.7,-0.255813953
16771,Todd Gurley II,RB,14.8,221.4,0.644186047
18811,Mitchell Trubisky,QB,14.7,220.82,-5.27037037
14856,Zach Ertz,TE,14.6,219.6,2.342857143
14967,Le'Veon Bell,RB,14.4,216,0.244186047
19803,Mark Andrews,TE,14.3,214.2,2.042857143
19812,Sam Darnold,QB,16.2,211.16,-3.77037037
16389,Odell Beckham Jr.,WR,13,208.3,-0.640322581
20824,Josh Jacobs,RB,16,207.6,1.844186047
20053,Kyle Allen,QB,15.9,206.48,-4.07037037
20128,Phillip Lindsay,RB,12.7,203.7,-1.455813953
19802,Calvin Ridley,WR,15.6,203,1.959677419
16056,James White,RB,13.4,201.2,-0.755813953
20873,Terry McLaurin,WR,14.4,200.9,0.759677419
13870,Marvin Jones Jr.,WR,15.4,199.9,1.759677419
16524,Devonta Freeman,RB,14.3,199.6,0.144186047
11063,Emmanuel Sanders,WR,11.7,199.3,-1.940322581
20932,Deebo Samuel,WR,13.3,199.1,-0.340322581
