ID,NAME,POS,FPTS/G,FPTS,PPGOR
19801,Josh Allen,QB,27.3,436.06,6.492
18890,Patrick Mahomes,QB,27.3,409.4,6.492
18857,Deshaun Watson,QB,25.6,409.32,4.792
20889,Kyler Murray,QB,25.4,406.74,4.592
2593,Aaron Rodgers,QB,25.3,405.26,4.492
14536,Russell Wilson,QB,24.5,391.78,3.692
18878,Alvin Kamara,RB,25.6,383.8,10.99459459
16470,Davante Adams,WR,27.2,380.4,13.11803279
4314,Tom Brady,QB,23.2,371.92,2.392
21681,Justin Herbert,QB,24.5,367.84,3.692
17959,Derrick Henry,RB,22.8,365.1,8.194594595
18872,Dalvin Cook,RB,26.1,364.8,11.49459459
13799,Ryan Tannehill,QB,22.6,361.36,1.792
19781,Lamar Jackson,QB,23.5,351.78,2.692
16906,Stefon Diggs,WR,21.8,349.6,7.718032787
14252,Kirk Cousins,QB,21.2,339.2,0.392
18082,Tyreek Hill,WR,22.5,337.9,8.418032787
15048,Travis Kelce,TE,22.1,331.76,10.42352941
14986,DeAndre Hopkins,WR,19.4,310.8,5.318032787
732,Matt Ryan,QB,19.3,309.44,-1.508
16311,Derek Carr,QB,19.2,307.12,-1.608
19802,Calvin Ridley,WR,20.4,306.5,6.318032787
16964,Darren Waller,TE,18.5,295.6,6.823529412
21685,Justin Jefferson,WR,18.4,295.2,4.318032787
3807,Ben Roethlisberger,QB,19.5,293.22,-1.308
20875,DK Metcalf,WR,18,287.3,3.918032787
9038,Matthew Stafford,QB,17.5,280.56,-3.308
13320,Cam Newton,QB,18.5,277.98,-2.308
17922,Jared Goff,QB,18.3,274.98,-2.508
16263,Allen Robinson II,WR,17.2,274.9,3.118032787
20882,David Montgomery,RB,18.3,274.8,3.694594595
16830,Tyler Lockett,WR,17,271.4,2.918032787
19045,Aaron Jones,RB,19.1,267.9,4.494594595
19790,Baker Mayfield,QB,16.7,266.62,-4.108
16497,Teddy Bridgewater,QB,17.6,264.22,-3.208
21970,James Robinson,RB,18.8,263.4,4.194594595
15534,Adam Thielen,WR,17.5,263,3.418032787
21682,Jonathan Taylor,RB,17.5,262.8,2.894594595
8244,Philip Rivers,QB,16.3,260.96,-4.508
16597,Mike Evans,WR,16.3,260.6,2.218032787
21042,A.J. Brown,WR,18.6,260.5,4.518032787
15076,Keenan Allen,WR,18.5,259.1,4.418032787
14871,Robert Woods IR,WR,15.8,252.1,1.718032787
16765,Amari Cooper,WR,15.6,248.8,1.518032787
16568,Brandin Cooks,WR,16.1,241,2.018032787
20824,Josh Jacobs,RB,16,239.3,1.394594595
13870,Marvin Jones Jr.,WR,14.8,236.8,0.718032787
18883,JuJu Smith-Schuster,WR,14.7,235.1,0.618032787
17923,Ezekiel Elliott,RB,15.6,234.7,0.994594595
18187,Robby Anderson,WR,14.6,234.1,0.518032787
20873,Terry McLaurin,WR,15.6,233.8,1.518032787
21077,Diontae Johnson,WR,15.3,228.8,1.218032787
19798,Nick Chubb,RB,18.9,226.7,4.294594595
7242,Drew Brees,QB,18.9,226.48,-1.908
21679,CeeDee Lamb,WR,14,224.7,-0.081967213
