Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Kyle Monangai (39940705),Kyle Monangai,39940705,CPT,4200,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
TE,Cole Kmet (39940647),Cole Kmet,39940647,FLEX,4000,MIN@CHI 09/08/2025 08:15PM ET,CHI,7.08
WR,Jalen Nailor (39940648),Jalen Nailor,39940648,FLEX,3600,MIN@CHI 09/08/2025 08:15PM ET,MIN,6.13
RB,Ty Chandler (39940706),Ty Chandler,39940706,CPT,3600,MIN@CHI 09/08/2025 08:15PM ET,MIN,1.58
DST,Bears  (39940649),Bears,39940649,FLEX,3400,MIN@CHI 09/08/2025 08:15PM ET,CHI,7.12
RB,Roschon Johnson (39940650),Roschon Johnson,39940650,FLEX,3000,MIN@CHI 09/08/2025 08:15PM ET,CHI,5.53
WR,Olamide Zaccheaus (39940707),Olamide Zaccheaus,39940707,CPT,3000,MIN@CHI 09/08/2025 08:15PM ET,CHI,6.34
RB,Kyle Monangai (39940651),Kyle Monangai,39940651,FLEX,2800,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
RB,Ty Chandler (39940652),Ty Chandler,39940652,FLEX,2400,MIN@CHI 09/08/2025 08:15PM ET,MIN,1.58
TE,Josh Oliver (39940708),Josh Oliver,39940708,CPT,2400,MIN@CHI 09/08/2025 08:15PM ET,MIN,4.21
WR,Olamide Zaccheaus (39940653),Olamide Zaccheaus,39940653,FLEX,2000,MIN@CHI 09/08/2025 08:15PM ET,CHI,6.34
TE,Ben Yurosek (39940709),Ben Yurosek,39940709,CPT,1800,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
TE,Josh Oliver (39940654),Josh Oliver,39940654,FLEX,1600,MIN@CHI 09/08/2025 08:15PM ET,MIN,4.21
WR,Jahdae Walker (39940710),Jahdae Walker,39940710,CPT,1500,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
TE,Ben Yurosek (39940655),Ben Yurosek,39940655,FLEX,1200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
WR,Tai Felton (39940711),Tai Felton,39940711,CPT,1200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
WR,Jahdae Walker (39940656),Jahdae Walker,39940656,FLEX,1000,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
TE,Durham Smythe (39940712),Durham Smythe,39940712,CPT,900,MIN@CHI 09/08/2025 08:15PM ET,CHI,0.84
WR,Tai Felton (39940657),Tai Felton,39940657,FLEX,800,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
TE,Durham Smythe (39940658),Durham Smythe,39940658,FLEX,600,MIN@CHI 09/08/2025 08:15PM ET,CHI,0.84
WR,Jordan Addison (39940713),Jordan Addison,39940713,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,MIN,14.02
RB,Travis Homer (39940714),Travis Homer,39940714,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,CHI,0.64
RB,Deion Hankins (39940715),Deion Hankins,39940715,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
RB,Brittain Brown (39940716),Brittain Brown,39940716,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
RB,Zavier Scott (39940717),Zavier Scott,39940717,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
RB,Xazavian Valladay (39940718),Xazavian Valladay,39940718,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
RB,C.J. Ham (39940719),C.J. Ham,39940719,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,MIN,0.91
WR,Lucky Jackson (39940720),Lucky Jackson,39940720,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
WR,Myles Price (39940721),Myles Price,39940721,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
WR,Tim Jones (39940722),Tim Jones,39940722,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,MIN,0.42
WR,Dontae Fleming (39940723),Dontae Fleming,39940723,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
WR,Rondale Moore (39940724),Rondale Moore,39940724,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
WR,Jeshaun Jones (39940725),Jeshaun Jones,39940725,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
WR,Maurice Alexander (39940726),Maurice Alexander,39940726,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
WR,JP Richardson (39940727),JP Richardson,39940727,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
WR,Miles Boykin (39940728),Miles Boykin,39940728,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
WR,Devin Duvernay (39940729),Devin Duvernay,39940729,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,CHI,1.48
TE,Stephen Carlson (39940730),Stephen Carlson,39940730,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
TE,Bryson Nesbit (39940731),Bryson Nesbit,39940731,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
TE,Nick Vannett (39940732),Nick Vannett,39940732,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,MIN,2.85
TE,Andrew DePaola (39940733),Andrew DePaola,39940733,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
TE,Nikola Kalinic (39940734),Nikola Kalinic,39940734,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
TE,Gavin Bartholomew (39940735),Gavin Bartholomew,39940735,CPT,300,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
WR,Jordan Addison (39940659),Jordan Addison,39940659,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,MIN,14.02
RB,Travis Homer (39940660),Travis Homer,39940660,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,CHI,0.64
RB,Deion Hankins (39940661),Deion Hankins,39940661,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
RB,Brittain Brown (39940662),Brittain Brown,39940662,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
RB,Zavier Scott (39940663),Zavier Scott,39940663,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
RB,Xazavian Valladay (39940664),Xazavian Valladay,39940664,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
RB,C.J. Ham (39940665),C.J. Ham,39940665,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0.91
WR,Lucky Jackson (39940666),Lucky Jackson,39940666,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
WR,Myles Price (39940667),Myles Price,39940667,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
WR,Tim Jones (39940668),Tim Jones,39940668,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0.42
WR,Dontae Fleming (39940669),Dontae Fleming,39940669,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
WR,Rondale Moore (39940670),Rondale Moore,39940670,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
WR,Jeshaun Jones (39940671),Jeshaun Jones,39940671,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
WR,Maurice Alexander (39940672),Maurice Alexander,39940672,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
WR,JP Richardson (39940673),JP Richardson,39940673,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
WR,Miles Boykin (39940674),Miles Boykin,39940674,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
WR,Devin Duvernay (39940675),Devin Duvernay,39940675,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,CHI,1.48
TE,Stephen Carlson (39940676),Stephen Carlson,39940676,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
TE,Bryson Nesbit (39940677),Bryson Nesbit,39940677,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
TE,Nick Vannett (39940678),Nick Vannett,39940678,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,MIN,2.85
TE,Andrew DePaola (39940679),Andrew DePaola,39940679,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
TE,Nikola Kalinic (39940680),Nikola Kalinic,39940680,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
TE,Gavin Bartholomew (39940681),Gavin Bartholomew,39940681,FLEX,200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
