id,Name,adp_final,Position,Team,rank
b7b1f316-40a7-4784-a8d1-f972b0dd394f,Diontae Johnson,67.8,WR,CAR,56.83254545454546
501824d3-4a54-4af2-b44a-d3ecd1963f1d,Jayden Reed,60.0,WR,GB,58.43636363636364
079b90e6-3ce0-4952-88a6-8e2a3003d6fe,Keenan Allen,55.6,WR,CHI,58.74
0d22526b-00d4-4f61-9c71-7540cd373543,George Kittle,63.7,TE,SF,60.92121212121212
012a73f3-7fe2-427d-89d5-2ddc0fb366e6,Joe Mixon,62.2,RB,HOU,62.38787878787879
03fcdf1b-3181-4dc9-9891-5f8db430037f,Kenneth Walker III,65.8,RB,SEA,63.65454545454545
cc6cf04a-9ebb-4f4d-9d39-cc637b2da612,Calvin Ridley,57.6,WR,TEN,64.14545454545456
140a874a-e16b-4b51-9640-01797a14e4a1,Rachaad White,62.7,RB,TB,67.10303030303031
d1f113bc-e984-499b-a386-2c38ef7a25d0,C.J. Stroud,70.6,QB,HOU,67.41818181818182
94b09be0-23a5-46fd-9484-7aa994983d13,James Conner,78.3,RB,ARI,67.43454545454546
19f1f476-acd6-4dbd-ac1c-7c4a920bf479,Chris Godwin,61.3,WR,TB,68.3030303030303
05770873-38ff-4f2c-9fe6-93b30344c8ff,Jameson Williams,82.2,WR,DET,68.52545454545455
e596066b-2a14-4ac2-9b2c-84422febdf32,Brian Thomas,77.8,WR,JAX,68.96363636363637
bf247202-99b8-442a-9164-7e7b88e3c39c,Kyler Murray,74.6,QB,ARI,70.246
71aa400e-7eab-465e-bf0a-1c1f7f407306,Jaxon Smith-Njigba,75.1,WR,SEA,72.36969696969696
5482dd3a-89c6-44de-9819-2b27e7af1097,Evan Engram,76.4,TE,JAX,74.10303030303031
da9a62a7-26d6-4485-be96-cd693c639448,Ladd McConkey,74.8,WR,LAC,74.81818181818181
1bbd25be-df0b-43c5-a027-2ff0bc886805,David Montgomery,73.1,RB,DET,75.0
7596f380-5b00-47a8-9598-a26c2f107188,Jayden Daniels,99.7,QB,WAS,78.5090909090909
c404a688-5ff2-4ede-a1bd-1e52bd000052,Christian Watson,70.0,WR,GB,78.63333333333334
905c091a-69b0-4c46-9f4a-0887d6485aaf,Hollywood Brown,61.3,WR,KC,78.77575757575757
c7a3f5f1-7736-4c0d-9fed-b00b9e39c46b,Aaron Jones,80.6,RB,MIN,78.79393939393938
4cdb965b-ad70-4a6d-9ab5-2d106a11b98f,Javonte Williams,108.8,RB,DEN,79.0360909090909
f5867da2-a5d7-46e0-8c3d-87d8f5679ac3,Brock Bowers,96.2,TE,LV,79.14
3e8980e6-5db5-4abf-bf09-961510c13cca,Chase Brown,101.3,RB,CIN,79.22290909090908
1775916e-71ef-4b95-beb7-cc387b7d0a26,Rhamondre Stevenson,81.6,RB,NE,80.21818181818182
fa6d275b-9843-4a2a-a13f-17b2a6421118,Najee Harris,84.4,RB,PIT,81.35151515151514
6d7c0fe8-34ac-4c6c-a7ab-3aba41078fc0,Keon Coleman,76.6,WR,BUF,82.0
8efa33b9-1203-4a58-82f7-2b1104491e97,Alvin Kamara,71.3,RB,NO,82.12121212121212
21b4aa19-67f2-4f75-9580-e7de8402ec95,Jake Ferguson,84.9,TE,DAL,83.39999999999999
f92ed8de-d86d-4837-9230-7ed84bdaf0f3,Jaylen Warren,86.8,RB,PIT,84.20727272727272
010a891d-2b17-4cbc-b8fe-7b3aa74f9e6f,Jordan Addison,86.2,WR,MIN,85.3030303030303
155d3ea9-be02-439b-893f-61cfb7e42e14,Tyjae Spears,108.6,RB,TEN,85.70781818181818
13b9e9b0-7b2f-4a53-9772-7a2b029a0cec,Joe Burrow,89.5,QB,CIN,85.72727272727273
3346891b-8250-442e-be54-4ffc467140f0,David Njoku,99.2,TE,CLE,85.9090909090909
5938ed56-9d15-4ddb-bbb6-4f2df360082d,Curtis Samuel,87.1,WR,BUF,88.24545454545454
d0ab599c-2441-43c7-8e44-355ddcd40fb4,DeAndre Hopkins,85.2,WR,TEN,88.37575757575758
59e3addb-e2f7-4d24-8852-eaa61c397dd7,D'Andre Swift,90.2,RB,CHI,89.04242424242425
9edea840-1092-4867-b6ce-7cf21b5a10b0,Jordan Love,95.4,QB,GB,89.26060606060605
820e0944-20ba-491d-94a0-9c367bb95d2a,Dak Prescott,95.9,QB,DAL,89.4060606060606
313f9102-552e-42bb-9de8-8cdd09f9f400,Raheem Mostert,92.2,RB,MIA,91.35757575757576
1f9caa40-8697-45ed-838a-c5016d5d2b50,Rico Dowdle,128.5,RB,DAL,94.99581818181818
1eaa53eb-1685-436a-92f1-5108e9060916,Zamir White,88.9,RB,LV,95.04848484848485
46af6d96-b1c6-420e-8267-e45b7ee6bed2,Tony Pollard,102.2,RB,TEN,95.0921212121212
d4aff586-ebb1-48b4-9046-92ced891b82e,Jonathon Brooks,94.4,RB,CAR,96.24242424242425
63578ada-4ed4-4316-9f8a-e9aabc341a12,Courtland Sutton,96.1,WR,DEN,98.9030303030303
eab97f05-41eb-44dd-bcd6-b1164453d78f,Romeo Doubs,100.9,WR,GB,98.90727272727273
5b58b8bc-4e70-4c59-9b39-5d06ff9cc138,Joshua Palmer,99.5,WR,LAC,99.01400000000001
b8771ac8-365e-47ee-8c89-257ce9c3ed1c,Caleb Williams,110.5,QB,CHI,102.05454545454546
3e152432-f6e7-42b7-b71e-fd969103ef58,Zack Moss,101.7,RB,CIN,102.12727272727273
a7ee8a74-bffd-4cc1-8afe-c348540218cb,Dontayvion Wicks,114.6,WR,GB,105.69818181818182
8f945f72-643c-468a-92f0-5ce4eea02376,Brian Robinson Jr.,105.1,RB,WAS,105.89696969696969
afbfb86b-62fa-4d76-850e-106a8bef1227,Devin Singletary,111.3,RB,NYG,107.87878787878788
34410741-ef23-47e5-b6b4-ec1786d934fa,Brock Purdy,111.3,QB,SF,108.12121212121212
14655452-ddcb-4917-b5d6-16cba10df015,Khalil Shakir,109.6,WR,BUF,109.10303030303031
d29d0594-1f4b-4108-8592-046e49e5257f,Tyler Lockett,109.7,WR,SEA,110.87878787878788
cd014c4d-e787-4f56-b0c4-c18b0f98dfd0,Trevor Lawrence,118.4,QB,JAX,113.23030303030303
e589613d-c3de-4dd1-9cfd-2e28677b4341,Rashid Shaheed,108.1,WR,NO,113.78181818181818
0eae9eff-1161-4e23-8038-c359ca6c1410,Ja'Lynn Polk,129.8,WR,NE,114.60545454545453
b95bd706-6b49-482b-9767-182b062dd5b1,Dallas Goedert,115.3,TE,PHI,117.22424242424243
fd40f098-b8ea-462f-9500-a356b073a8c2,Tyler Allgeier,145.0,RB,ATL,118.47709090909089
bd442576-a4ed-474b-9dbd-941891275718,Jakobi Meyers,119.3,WR,LV,120.02424242424243
e89f7b98-d087-46a4-b20a-53dd65177736,Blake Corum,122.0,RB,LAR,121.10303030303031
317274c8-462d-4f3f-99c0-6fe632f9c100,Zach Charbonnet,134.6,RB,SEA,121.87636363636365
b24c197a-b8e2-4ddf-8d0e-b97e30059d08,Tua Tagovailoa,122.9,QB,MIA,122.01212121212122
