id,Name,adp,Position,Team,rank
098d87b9-1fc9-4466-a7dd-7f35f697f506,CeeDee Lamb,2.3,WR,DAL,1.8181818181818181
9e801ec6-ed8e-49b1-8b66-90553d7dd7e2,Christian McCaffrey,1.3,RB,SF,1.878787878787879
a36d312f-0f65-4e3a-98ef-823608309b21,Tyreek Hill,2.8,WR,MIA,2.757575757575758
5a9b6074-7296-4571-94f8-6b9e803ba039,Ja'Marr Chase,4.4,WR,CIN,4.212121212121212
8209c653-34c2-4bc5-8434-d5a6d2c8b27b,Justin Jefferson,5.4,WR,MIN,4.7727272727272725
7b36b9f5-93c3-4fb7-8703-f89aa740c452,Amon-Ra St. Brown,6.1,WR,DET,6.0606060606060606
7f4475be-2cd2-4e94-9272-9d6e1c6a6262,Bijan Robinson,7.1,RB,ATL,6.878787878787879
3f671138-3ef9-437b-af4b-f865c1423161,Breece Hall,7.3,RB,NYJ,7.848484848484849
c76953d5-dc07-49f6-85e2-731b919c09a0,Garrett Wilson,10.2,WR,NYJ,9.757575757575758
2bad3d34-9960-4d9a-8fa7-6abc8d2ba1f7,A.J. Brown,8.8,WR,PHI,9.909090909090908
fb1781a7-ebfc-47c4-a925-18ad114c9834,Puka Nacua,11.7,WR,LAR,11.030303030303031
56c751bc-45b5-4984-b916-8a9b1cbc056e,Drake London,15.2,WR,ATL,13.363636363636363
ffadf9c7-84c5-4cbd-882c-08ac77e4ceff,Marvin Harrison Jr.,13.7,WR,ARI,13.393939393939394
0eca149b-3acb-4540-90b9-e573a3983e73,Jaylen Waddle,19.8,WR,MIA,13.816363636363638
bc1959be-6b30-4eca-be97-0f2e5b97eb9a,Deebo Samuel,16.0,WR,SF,14.372727272727273
f098bc7a-7b26-4b95-8a2a-5603e0c79eab,Jahmyr Gibbs,12.5,RB,DET,14.484848484848484
0ca934b7-a6df-4df8-9f7b-f34f1f51d396,Nico Collins,17.7,WR,HOU,16.393939393939394
333093b5-7ef3-49ae-a736-93217e79f666,Chris Olave,19.6,WR,NO,17.242424242424242
b4792419-5e76-45de-864a-741ac6df7651,Jonathan Taylor,15.9,RB,IND,17.727272727272727
12dc1620-9e6e-4ea6-81db-325a12cf154c,Malik Nabers,25.3,WR,NYG,18.572727272727274
6591b1cf-50ee-4c6d-964c-2b26ad46bfde,Davante Adams,21.7,WR,LV,21.21212121212121
07d3867e-0154-4152-a798-18d6c7accd42,Cooper Kupp,22.8,WR,LAR,22.09090909090909
47a7e2a4-2f23-4670-ac09-1c20b7e4bb39,Devon Achane,21.6,RB,MIA,22.848484848484848
