Player,Times_Drafted,Made_Playoffs,Advance_Rate
Russell Gage,12960,2094,16.16%
Khalil Herbert,93,15,16.13%
Boston Scott,2121,342,16.12%
Daniel Jones,12240,1971,16.10%
Gerrid Doaks,143,23,16.08%
JaMycal Hasty,56,9,16.07%
Nick Chubb,12960,2081,16.06%
Sammy Watkins,12347,1981,16.04%
Darius Slayton,11494,1841,16.02%
Giovani Bernard,11867,1899,16.00%
Duke Johnson,50,8,16.00%
Joe Burrow,12960,2063,15.92%
T.Y. Hilton,12486,1986,15.91%
Ty Johnson,4577,727,15.88%
CeeDee Lamb,12960,2056,15.86%
Courtland Sutton,12960,2054,15.85%
Noah Fant,12960,2047,15.79%
Royce Freeman,19,3,15.79%
Devonta Freeman,19,3,15.79%
Nelson Agholor,12960,2046,15.79%
Samaje Perine,2422,381,15.73%
Mo Alie-Cox,4547,715,15.72%
Jimmy Graham,357,56,15.69%
Tony Pollard,12960,2029,15.66%
Evan Engram,12958,2028,15.65%
Greg Ward,96,15,15.63%
Isaiah McKenzie,250,39,15.60%
Demarcus Robinson,10435,1627,15.59%
Gerald Everett,12959,2017,15.56%
Gabriel Davis,12960,2016,15.56%
Dez Fitzpatrick,619,96,15.51%
Kylen Granson,84,13,15.48%
Tre'Quan Smith,12959,2003,15.46%
J.J. Taylor,117,18,15.38%
DeeJay Dallas,78,12,15.38%
Jermar Jefferson,65,10,15.38%
Gardner Minshew,13,2,15.38%
Willie Snead,13,2,15.38%
Tyler Boyd,12960,1988,15.34%
DJ Moore,12960,1986,15.32%
Devin Duvernay,347,53,15.27%
Tua Tagovailoa,12958,1977,15.26%
Alvin Kamara,12960,1977,15.25%
Chase Claypool,12960,1972,15.22%
Marlon Mack,3514,534,15.20%
Tyler Higbee,12960,1967,15.18%
Cole Kmet,12946,1956,15.11%
Amari Cooper,12960,1958,15.11%
Chris Evans,259,39,15.06%
Eno Benjamin,253,38,15.02%
Hayden Hurst,3583,536,14.96%
Tyrod Taylor,709,106,14.95%
Bryan Edwards,12925,1932,14.95%
Teddy Bridgewater,2479,370,14.93%
Jeff Wilson,1504,224,14.89%
Salvon Ahmed,2010,298,14.83%
Keelan Cole,3076,456,14.82%
Javian Hawkins,1496,221,14.77%
Tevin Coleman,11760,1732,14.73%
David Johnson,12617,1858,14.73%
Antonio Gibson,12960,1903,14.68%
Latavius Murray,12618,1851,14.67%
Travis Fulgham,3023,443,14.65%
Olamide Zaccheaus,7215,1056,14.64%
Quintez Cephus,2367,346,14.62%
James White,12293,1794,14.59%
Jarvis Landry,12960,1891,14.59%
Sony Michel,3777,551,14.59%
Robby Anderson,12960,1889,14.58%
Marvin Jones,12960,1880,14.51%
Albert Wilson,400,58,14.50%
Tee Higgins,12960,1878,14.49%
Malcolm Brown,6287,910,14.47%
Corey Davis,12960,1871,14.44%
Sam Darnold,12351,1783,14.44%
Cam Newton,3939,567,14.39%
Rashod Bateman,12952,1863,14.38%
Parris Campbell,12958,1863,14.38%
Robert Tonyan,12960,1861,14.36%
Anthony Miller,2336,335,14.34%
Eric Ebron,10762,1538,14.29%
