ID,NAME,TEAM,BYE,AGE,POS,POS RK,ADP
18003,Kenyan Drake,LV,8,28,RB,RB41,101.6
19863,Dallas Goedert,PHI,14,27,TE,TE11,102.2
16568,Brandin Cooks,HOU,10,28,WR,WR43,103
20128,Phillip Lindsay,HOU,14,27,RB,RB42,103.4
20876,Jakobi Meyers,NE,14,25,WR,WR44,103.6
28,Pittsburgh Steelers,PIT,7,,DST,DST1,104.5
19853,Mike Gesicki,MIA,14,26,TE,TE12,106.1
19912,Nyheim Hines,IND,14,25,RB,RB43,106.4
20788,Mecole Hardman,KC,12,23,WR,WR45,108.8
21961,Darnell Mooney,CHI,10,24,WR,WR46,109.6
32,Los Angeles Rams,LAR,11,,DST,DST2,109.6
21693,Joe Burrow,CIN,10,25,QB,QB13,113.4
95,Tampa Bay Buccaneers,TB,9,,DST,DST3,113.7
19816,DJ Chark Jr.,JAX,7,25,WR,WR47,117.4
18990,Jonnu Smith,NE,14,26,TE,TE13,118.4
22546,Rhamondre Stevenson,NE,14,24,RB,RB44,119.4
18914,Mike Williams,LAC,7,27,WR,WR48,119.7
18464,J.D. McKissic,WAS,9,28,RB,RB45,119.7
16056,James White,NE,14,30,RB,RB46,121.3
16020,Jarvis Landry,CLE,13,29,WR,WR49,121.4
34,Tennessee Titans,TEN,13,,DST,DST4,122.3
22493,Trey Lance,SF,6,21,QB,QB14,122.8
14916,Giovani Bernard,TB,9,30,RB,RB47,122.8
97,Washington Commanders,WAS,9,,DST,DST5,124.1
22592,Elijah Moore,NYJ,6,21,WR,WR50,124.6
16834,Tevin Coleman,NYJ,6,28,RB,RB48,126.2
22492,Justin Fields,CHI,10,22,QB,QB15,126.8
13870,Marvin Jones Jr.,JAX,7,31,WR,WR51,128.4
36,Baltimore Ravens,BAL,8,,DST,DST6,130
17916,William Fuller V,MIA,14,27,WR,WR52,130.1
10974,Rob Gronkowski,TB,9,32,TE,TE14,132
21694,Henry Ruggs III,LV,,23,WR,WR53,132.2
22490,Trevor Lawrence,JAX,7,22,QB,QB16,133.1
93,San Francisco 49ers,SF,6,,DST,DST7,133.9
20006,Russell Gage,ATL,6,26,WR,WR54,134.3
19073,Harrison Butker,KC,12,26,K,K1,135.2
14688,Justin Tucker,BAL,8,32,K,K2,138.4
14,Indianapolis Colts,IND,14,,DST,DST8,139.2
19565,Younghoe Koo,ATL,6,27,K,K3,141.7
21,New England Patriots,NE,14,,DST,DST9,142.7
21774,Tony Jones Jr.,NO,6,24,RB,RB49,144.5
49,Denver Broncos,DEN,11,,DST,DST10,145.8
