"Player","Team","Opponent","Position","DK Points","DKSalary","FD Points","FDSalary","DKSlateID","FDSlateID","Slate"
"George Pickens","PIT","TB","WR","1.7","5500","1.1","6000","28890651","92651-110246","Main"
"Pat Freiermuth","PIT","TB","TE","1.7","5500","1.5","6000","28890927","92651-86244","Main"
"Curtis Hodges","WAS","CLE","TE","1.7","5500","1.3","6000","28890999","92651-85759","Main"
"Jordan Akins","CLE","WAS","TE","1.6","5500","1.5","6000","28890949","92651-57338","Main"
"James Mitchell","DET","NYG","TE","1.6","5500","1.2","6000","28890977","92651-85986","Main"
"Darrell Daniels","DET","NYG","TE","1.6","5500","1.3","6000","28891021","92651-41469","Main"
"Tyler Davis","GB","CIN","TE","1.6","5500","1.9",,"28891007",,"Main"
"Isaiah Hodgins","NYG","DET","WR","1.6","5500","1.1","6000","28890641","92651-93055","Main"
"Dominique Dafney","TB","PIT","TE","1.6","5500","1.2","6000","28891039","92651-86178","Main"
"Donovan Peoples-Jones","CLE","WAS","WR","1.5","5500","1.3","6000","28890671","92651-91426","Main"
"Elijah Moore","CLE","WAS","WR","1.5","5500","1.2","6000","28890665","92651-88575","Main"
"AJ Dillon","GB","CIN","RB","1.5","5500","1.2","6000","28890491","92651-93107","Main"
"Tucker Kraft","GB","CIN","TE","1.5","5500","1.2","6000","28890985","92651-160303","Main"
"Andre Miller","GB","CIN","TE","1.5","5500","1.2","6000","28890835","92651-170290","Main"
"Zach Gentry","PIT","TB","TE","1.5","5500","1.2","6000","28890995","92651-64221","Main"
"Terry McLaurin","WAS","CLE","WR","1.5","5500","1.1","6000","28890631","92651-56250","Main"
"Noah Togiai","ARI","DEN","TE","1.4","5500","1.0","6000","28890989","92651-64864","Main"
"Mack Hollins","ATL","MIA","WR","1.4","5500","1.1","6000","28890661","92651-25267","Main"
"David Njoku","CLE","WAS","TE","1.4","5500","1.1","6000","28890929","92651-55335","Main"
"Nate Adkins","DEN","ARI","TE","1.4","5500","1.1","6000","28891059","92651-173626","Main"
"Brock Wright","DET","NYG","TE","1.4","5500","1.2","6000","28890953","92651-91046","Main"
"Darius Slayton","NYG","DET","WR","1.4","5500","1.1","6000","28890657","92651-63819","Main"
"Jahan Dotson","WAS","CLE","WR","1.4","5500","1.2","6000","28890655","92651-86229","Main"
"Geoff Swaim","ARI","DEN","TE","1.3","5500","1.0","6000","28891011","92651-38523","Main"
"Blake Whiteheart","ARI","DEN","TE","1.3","5500","1.0","6000","28891057","92651-87634","Main"
"Bernhard Seikovits","ARI","DEN","TE","1.3","5500","0.8","6000","28891035","92651-149727","Main"
"Joel Honigford","ARI","DEN","TE","1.3","5500","1.0","6000","28891067","92651-91373","Main"
"Drake London","ATL","MIA","WR","1.3","5500","1.0","6000","28890637","92651-112745","Main"
"Scott Miller","ATL","MIA","WR","1.3","5500","1.2","6000","28890685","92651-61273","Main"
"Greg Dulcich","DEN","ARI","TE","1.3","5500","1.0","6000","28890947","92651-91931","Main"
"Luke Musgrave","GB","CIN","TE","1.3","5500","1.0","6000","28890941","92651-113228","Main"
"David Wells","TB","PIT","TE","1.3","5500","1.2","6000","28891015","92651-46177","Main"
"Cordarrelle Patterson","ATL","MIA","RB","1.2","5500","1.0","6000","28890507","92651-30733","Main"
"Parker Hesse","ATL","MIA","TE","1.2",,"0.7",,,,"Other"
"Adam Trautman","DEN","ARI","TE","1.2","5500","0.9","6000","28890991","92651-130270","Main"
