Team,POS,Name,TEAM,Round,Pick,ADP,Value,Draft Start,Cumulative Val,Strategy,Elite Onesie,Capital
1,WR,Cooper Kupp,LAR,1,6,2.9,3.1,7/27/2022,-7.7,Anchor RB,Neither,4
1,RB,Saquon Barkley,NYG,2,19,18.9,0.1,7/27/2022,-7.7,Anchor RB,Neither,4
1,WR,Tee Higgins,CIN,3,30,26.7,3.3,7/27/2022,-7.7,Anchor RB,Neither,4
1,WR,Gabriel Davis,BUF,4,43,45.1,-2.1,7/27/2022,-7.7,Anchor RB,Neither,4
1,WR,Brandin Cooks,HOU,5,54,52.6,1.4,7/27/2022,-7.7,Anchor RB,Neither,4
1,WR,Amari Cooper,CLE,6,67,71.4,-4.4,7/27/2022,-7.7,Anchor RB,Neither,4
1,WR,Christian Kirk,JAX,7,78,84.4,-6.4,7/27/2022,-7.7,Anchor RB,Neither,4
1,RB,Kareem Hunt,CLE,8,91,96.8,-5.8,7/27/2022,-7.7,Anchor RB,Neither,4
1,WR,Kadarius Toney,NYG,9,102,97.3,4.7,7/27/2022,-7.7,Anchor RB,Neither,4
1,RB,Rachaad White,TB,10,115,120.6,-5.6,7/27/2022,-7.7,Anchor RB,Neither,4
1,WR,Christian Watson,GB,11,126,130.3,-4.3,7/27/2022,-7.7,Anchor RB,Neither,4
1,QB,Trevor Lawrence,JAX,12,139,136,3,7/27/2022,-7.7,Anchor RB,Neither,4
1,TE,Hunter Henry,NE,13,150,149.5,0.5,7/27/2022,-7.7,Anchor RB,Neither,4
1,TE,David Njoku,CLE,14,163,162.6,0.4,7/27/2022,-7.7,Anchor RB,Neither,4
1,QB,Deshaun Watson,CLE,15,174,171,3,7/27/2022,-7.7,Anchor RB,Neither,4
1,QB,Davis Mills,HOU,16,187,193.4,-6.4,7/27/2022,-7.7,Anchor RB,Neither,4
1,RB,Brian Robinson,WAS,17,198,195.9,2.1,7/27/2022,-7.7,Anchor RB,Neither,4
1,RB,Donta Foreman,CAR,18,211,205.3,5.7,7/27/2022,-7.7,Anchor RB,Neither,4
1,WR,Zay Jones,JAX,19,222,222,0,7/27/2022,-7.7,Anchor RB,Neither,4
1,RB,Kyren Williams,LAR,20,235,235,0,7/27/2022,-7.7,Anchor RB,Neither,4
2,WR,Jamar Chase,CIN,1,6,5.7,0.3,7/27/2022,16.2,Zero RB,Neither,4
2,WR,Deebo Samuel,SF,2,19,18.4,0.6,7/27/2022,16.2,Zero RB,Neither,4
2,WR,AJ Brown,PHI,3,30,29.8,0.2,7/27/2022,16.2,Zero RB,Neither,4
2,WR,Gabriel Davis,BUF,4,43,42.6,0.4,7/27/2022,16.2,Zero RB,Neither,4
2,WR,Marquise Brown,AZ,5,54,42.6,11.4,7/27/2022,16.2,Zero RB,Neither,4
2,QB,Jalen Hurts,PHI,6,67,65.4,1.6,7/27/2022,16.2,Zero RB,Neither,4
2,WR,Drake London,ATL,7,78,86,-8,7/27/2022,16.2,Zero RB,Neither,4
2,TE,Dallas Goedert,PHI,8,91,90.4,0.6,7/27/2022,16.2,Zero RB,Neither,4
2,WR,Chris Olave,NO,9,102,96.3,5.7,7/27/2022,16.2,Zero RB,Neither,4
2,RB,Kenneth Walker,SEA,10,115,114.2,0.8,7/27/2022,16.2,Zero RB,Neither,4
2,RB,Rachaad White,TB,11,126,120.7,5.3,7/27/2022,16.2,Zero RB,Neither,4
2,RB,Michael Carter,NYJ,12,139,139.8,-0.8,7/27/2022,16.2,Zero RB,Neither,4
2,QB,Jameis Winston,NO,13,150,151.4,-1.4,7/27/2022,16.2,Zero RB,Neither,4
2,TE,David Njoku,CLE,14,163,162.5,0.5,7/27/2022,16.2,Zero RB,Neither,4
2,RB,Jamaal Williams,DET,15,174,176.1,-2.1,7/27/2022,16.2,Zero RB,Neither,4
2,RB,Jerick Mckinnon,KC,16,187,185.9,1.1,7/27/2022,16.2,Zero RB,Neither,4
2,RB,Chris Evans,CIN,17,198,198,0,7/27/2022,16.2,Zero RB,Neither,4
2,RB,Dernest Johnson,CLE,18,211,211,0,7/27/2022,16.2,Zero RB,Neither,4
2,WR,David Bell,CLE,19,222,222,0,7/27/2022,16.2,Zero RB,Neither,4
2,WR,Zay Jones,JAX,20,235,235,0,7/27/2022,16.2,Zero RB,Neither,4
3,RB,Austin Ekeler,LAC,1,6,6.1,-0.1,7/27/2022,27.3,Anchor RB,Elite QB,4
3,WR,Ceedee Lamb,DAL,2,19,14.9,4.1,7/27/2022,27.3,Anchor RB,Elite QB,4
3,WR,Keenan Allen,LAC,3,30,25.7,4.3,7/27/2022,27.3,Anchor RB,Elite QB,4
3,QB,Justin Herbert,LAC,4,43,41.9,1.1,7/27/2022,27.3,Anchor RB,Elite QB,4
3,WR,Allen Robinson,LAR,5,54,52.2,1.8,7/27/2022,27.3,Anchor RB,Elite QB,4
3,WR,Amari Cooper,CLE,6,67,71.3,-4.3,7/27/2022,27.3,Anchor RB,Elite QB,4
3,RB,Tony Pollard,DAL,7,78,86.6,-8.6,7/27/2022,27.3,Anchor RB,Elite QB,4
3,WR,Marquez Valdes-Scantling,KC,8,91,93.3,-2.3,7/27/2022,27.3,Anchor RB,Elite QB,4
