Player,Team,Team_Indicator
D. Hilliard,TEN,13
V. Jefferson,LAR,13
R. Jones II,TB,13
S. Perine,CIN,13
T. Pollard,DAL,13
B. Skowronek,LAR,13
E. St. Brown,GB,13
C. Uzomah,CIN,13
J. Burrow,CIN,14
A. Dillon,GB,14
D. Harris,NE,14
J. Chase,CIN,14
T. Higgins,CIN,14
A. Lazard,GB,14
T. Kelce,KC,14
G. Kittle,SF,14
J. Hasty,SF,14
J. Jennings,SF,14
K. Juszczyk,SF,14
J. McKinnon,KC,14
J. Meyers,NE,14
S. Perine,CIN,14
B. Pringle,KC,14
D. Robinson,KC,14
E. St. Brown,GB,14
R. Stevenson,NE,14
M. Valdes-Scantling,GB,14
J. Wilson Jr.,SF,14
J. Burrow,CIN,15
L. Fournette,TB,15
J. Mixon,CIN,15
O. Beckham Jr.,LAR,15
T. Higgins,CIN,15
C. Kupp,LAR,15
T. Higbee,LAR,15
T. Boyd,CIN,15
G. Bernard,TB,15
C. Claypool,PIT,15
J. Darden,TB,15
K. Gainwell,PHI,15
V. Jefferson,LAR,15
S. Miller,TB,15
S. Perine,CIN,15
B. Perriman,TB,15
B. Scott,PHI,15
M. Stafford,LAR,15
C. Uzomah,CIN,15
Q. Watkins,PHI,15
T. Brady,TB,16
L. Fournette,TB,16
D. Williams,KC,16
A. Brown,TEN,16
M. Evans,TB,16
C. Kirk,AZ,16
Z. Ertz,AZ,16
J. Conner,AZ,16
C. Brate,TB,16
G. Davis,BUF,16
D. Gore,KC,16
C. Grayson,TB,16
T. Johnson,TB,16
R. Jones II,TB,16
R. Moore,AZ,16
Z. Moss,BUF,16
K. Murray,AZ,16
E. Sanders,BUF,16
J. Smith-Schuster,PIT,16
N. Westbrook-Ikhine,TEN,16
M. Stafford,LAR,17
E. Mitchell,SF,17
D. Williams,KC,17
M. Hardman,KC,17
T. Hill,KC,17
D. Samuel,SF,17
T. Kelce,KC,17
C. Akers,LAR,17
K. Gainwell,PHI,17
J. Garoppolo,SF,17
D. Gore,KC,17
J. Hurts,PHI,17
V. Jefferson,LAR,17
J. Jennings,SF,17
J. McKinnon,KC,17
B. Pringle,KC,17
J. Reagor,PHI,17
B. Skowronek,LAR,17
Q. Watkins,PHI,17
J. Wilson Jr.,SF,17
A. Rodgers,GB,18
L. Fournette,TB,18
N. Harris,PIT,18
D. Adams,GB,18
T. Boyd,CIN,18
T. Higgins,CIN,18
Z. Ertz,AZ,18
C. Kirk,AZ,18
C. Brate,TB,18
J. Burrow,CIN,18
R. Cobb,GB,18
D. Gore,KC,18
D. Hopkins,AZ,18
C. Edmonds,AZ,18
C. Uzomah,CIN,18
M. Valdes-Scantling,GB,18
B. Roethlisberger,PIT,18
J. Smith-Schuster,PIT,18
R. Jones II,TB,18
B. Perriman,TB,18
