User,Pts,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS
Eaglezzz (51),302.36,Joe Burrow,CIN,QB,Josh Allen,BUF,QB,Devin Singletary,BUF,RB,Najee Harris,PIT,RB,Sony Michel,LAR,RB,Cole Beasley,BUF,WR,Emmanuel Sanders,BUF,WR,Gabriel Davis,BUF,WR,Ja'Marr Chase,CIN,WR,Tyler Boyd,CIN,WR,C.J. Uzomah,CIN,TE,Travis Kelce,KC,TE
TheZach10 (35),301.66,Josh Allen,BUF,QB,Tom Brady,TB,QB,Aaron Jones,GB,RB,Cam Akers,LAR,RB,Leonard Fournette,TB,RB,Allen Lazard,GB,WR,Cole Beasley,BUF,WR,Cyril Grayson,TB,WR,Gabriel Davis,BUF,WR,Tyler Johnson,TB,WR,Dawson Knox,BUF,TE,Travis Kelce,KC,TE
Vinny002 (2),300.58,Patrick Mahomes,KC,QB,AJ Dillon,GB,RB,James Conner,ARI,RB,Joe Mixon,CIN,RB,Allen Lazard,GB,WR,Byron Pringle,KC,WR,Gabriel Davis,BUF,WR,Ja'Marr Chase,CIN,WR,Odell Beckham,LAR,WR,Tyreek Hill,KC,WR,Dawson Knox,BUF,TE,Zach Ertz,ARI,TE
JJourneay33 (49),299.38,Josh Allen,BUF,QB,Chase Edmonds,ARI,RB,Devin Singletary,BUF,RB,Tony Pollard,DAL,RB,A.J. Green,ARI,WR,Cedrick Wilson,DAL,WR,Cole Beasley,BUF,WR,Gabriel Davis,BUF,WR,Odell Beckham,LAR,WR,Tyreek Hill,KC,WR,Dawson Knox,BUF,TE,Rob Gronkowski,TB,TE
MattxMcC99 (2),299.28,Josh Allen,BUF,QB,Kyler Murray,ARI,QB,James Conner,ARI,RB,Joe Mixon,CIN,RB,A.J. Green,ARI,WR,Christian Kirk,ARI,WR,Cole Beasley,BUF,WR,Gabriel Davis,BUF,WR,Ja'Marr Chase,CIN,WR,Mike Evans,TB,WR,C.J. Uzomah,CIN,TE,Zach Ertz,ARI,TE
data4thewin (17),298.68,Josh Allen,BUF,QB,Derrick Henry,TEN,RB,Devin Singletary,BUF,RB,Ke'Shawn Vaughn,TB,RB,Sony Michel,LAR,RB,Byron Pringle,KC,WR,Gabriel Davis,BUF,WR,Julio Jones,TEN,WR,Mike Evans,TB,WR,Tyler Johnson,TB,WR,Van Jefferson,LAR,WR,Dawson Knox,BUF,TE
Updog (9),298.58,Josh Allen,BUF,QB,Derrick Henry,TEN,RB,Elijah Mitchell,SF,RB,Sony Michel,LAR,RB,Brandon Aiyuk,SF,WR,Cole Beasley,BUF,WR,Cooper Kupp,LAR,WR,Gabriel Davis,BUF,WR,Julio Jones,TEN,WR,Mike Evans,TB,WR,Cameron Brate,TB,TE,Dawson Knox,BUF,TE
NFLMovingAvg (11),297.28,Jimmy Garoppolo,SF,QB,Josh Allen,BUF,QB,Devin Singletary,BUF,RB,Elijah Mitchell,SF,RB,Brandon Aiyuk,SF,WR,Cooper Kupp,LAR,WR,Emmanuel Sanders,BUF,WR,Gabriel Davis,BUF,WR,Odell Beckham,LAR,WR,Van Jefferson,LAR,WR,Dawson Knox,BUF,TE,Tyler Higbee,LAR,TE
koooob (81),296.58,Josh Allen,BUF,QB,Tom Brady,TB,QB,Darrel Williams,KC,RB,Elijah Mitchell,SF,RB,Le'Veon Bell,TB,RB,Breshad Perriman,TB,WR,Cole Beasley,BUF,WR,Gabriel Davis,BUF,WR,Mike Evans,TB,WR,Tyler Johnson,TB,WR,Tyreek Hill,KC,WR,Dawson Knox,BUF,TE
TheZach10 (15),296.48,Patrick Mahomes,KC,QB,Clyde Edwards-Helaire,KC,RB,Devin Singletary,BUF,RB,Leonard Fournette,TB,RB,Ronald Jones,TB,RB,Cyril Grayson,TB,WR,Gabriel Davis,BUF,WR,Marquez Valdes-Scantling,GB,WR,Mecole Hardman,KC,WR,Tyreek Hill,KC,WR,Hunter Henry,NE,TE,Rob Gronkowski,TB,TE
cwellshear (22),295.48,Josh Allen,BUF,QB,Cam Akers,LAR,RB,Devin Singletary,BUF,RB,Miles Sanders,PHI,RB,A.J. Brown,TEN,WR,Cole Beasley,BUF,WR,Cooper Kupp,LAR,WR,DeVonta Smith,PHI,WR,Gabriel Davis,BUF,WR,Odell Beckham,LAR,WR,Dallas Goedert,PHI,TE,Tyler Higbee,LAR,TE
Quasi (28),295.28,Josh Allen,BUF,QB,Devin Singletary,BUF,RB,Elijah Mitchell,SF,RB,Leonard Fournette,TB,RB,Cyril Grayson,TB,WR,Deebo Samuel,SF,WR,Gabriel Davis,BUF,WR,Isaiah McKenzie,BUF,WR,Randall Cobb,GB,WR,Stefon Diggs,BUF,WR,Dawson Knox,BUF,TE,George Kittle,SF,TE
Windsortitan84 (11),295.08,Josh Allen,BUF,QB,Matthew Stafford,LAR,QB,Cam Akers,LAR,RB,Devin Singletary,BUF,RB,Sony Michel,LAR,RB,Cole Beasley,BUF,WR,Cooper Kupp,LAR,WR,Emmanuel Sanders,BUF,WR,Gabriel Davis,BUF,WR,Odell Beckham,LAR,WR,Dawson Knox,BUF,TE,George Kittle,SF,TE
JJourneay33 (2),294.28,Josh Allen,BUF,QB,Austin Ekeler,LAC,RB,Devin Singletary,BUF,RB,Ronald Jones,TB,RB,Cole Beasley,BUF,WR,Cooper Kupp,LAR,WR,Emmanuel Sanders,BUF,WR,Gabriel Davis,BUF,WR,Keenan Allen,LAC,WR,Tyler Boyd,CIN,WR,Dawson Knox,BUF,TE,Rob Gronkowski,TB,TE
