ID,AGE,ADP
18877,25,1.2
19766,24,2.5
17923,26,3.4
18878,26,4.9
17960,28,5.6
18872,26,6.2
21769,22,6.2
17959,28,7.4
20824,23,9.1
16470,29,10.4
19562,26,11.5
20933,24,12
18858,25,13.1
13291,32,14.4
18003,27,14.8
18082,27,15.8
19798,26,16.3
19045,27,17.5
14986,29,18.5
18890,26,18.7
15048,32,19.9
18880,25,21.5
18983,26,22.4
19781,25,22.7
19063,28,24.4
18977,28,25.8
19119,27,26.4
16597,28,27.9
16847,30,28.5
16771,27,29.1
15534,31,30.3
16263,28,31.8
21682,23,32.6
19844,24,32.6
14967,29,34.5
18803,27,35.4
16389,29,35.7
18883,25,36.9
16765,27,38.1
16776,28,39.4
18882,28,40.3
19802,27,40.9
14871,29,42.4
19803,26,42.4
13337,32,42.5
21042,24,44.4
20875,24,45.3
20941,24,46.4
19816,25,47.5
17217,29,49.4
16830,29,49.9
14856,31,50.6
20873,26,50.8
21688,22,52.8
18944,26,53.1
15076,29,53.5
18055,28,54.7
19861,24,56.5
14005,32,57.5
19800,26,58.1
20882,24,59.7
21045,24,60
21684,23,61.4
16964,29,61.6
14536,33,62
20889,24,62.6
16906,28,65
16775,29,66.7
21674,23,67
18857,26,69.3
12845,33,69.8
10974,32,70.4
17916,27,70.5
19867,25,72.2
16056,29,72.7
18998,25,74.6
18912,27,74.8
8355,35,77.2
17986,27,78.5
21861,23,79
19843,28,79.4
18067,27,80
7242,43,80.1
16568,28,81.5
21784,24,83.7
20128,27,83.8
19003,26,84.6
732,36,84.8
16020,29,85.5
4314,44,88
20932,26,89.1
21077,25,89.4
18032,29,89.7
19319,26,90.5
21679,22,93.2
2593,38,94.3
15071,32,94.9
13870,31,95.1
16834,28,96.4
20868,23,96.7
19822,24,97.2
17975,27,98
11063,34,100
20790,24,101.1
19919,25,101.1
19801,25,101.5
16866,28,102.6
21694,22,104.5
20788,23,106.1
93,,106.3
19828,26,107.4
17920,29,107.9
21686,23,109.5
9038,33,111.3
21802,23,111.9
21692,22,112.3
20943,25,113.2
20798,24,114.1
8534,34,115.2
19815,25,116.9
4807,36,118.4
17961,28,118.9
36,,119.3
20912,24,119.4
28,,119.6
20753,24,119.6
20039,26,120.1
13320,32,120.7
21685,23,121.5
20841,24,125.4
37,,126.3
20863,24,126.8
19864,27,126.9
3943,35,127.1
3807,39,129.5
20988,24,130.9
20145,26,131
16838,28,131
21788,24,134.4
20743,25,135.3
21693,25,135.7
21747,23,135.9
38,,136.7
17963,27,136.7
20064,25,137.6
19912,25,139.9
21,,140.2
16003,28,140.5
20805,24,143.1
14688,32,144.5
19790,26,144.7
11611,33,145.3
19853,26,146.5
17922,27,147.2
19073,26,147.5
84,,147.5
16640,31,149.1
15102,31,149.6
21744,24,151.7
20500,26,152.3
16510,29,152.3
20950,23,152.9
16787,28,153
18990,26,153.6
15602,31,153.7
19947,25,153.9
95,,154.2
19457,27,154.4
21776,24,154.5
18478,27,155.7
11932,33,156
14697,34,156.1
13799,33,156.4
16668,31,156.5
16041,30,157.2
21005,24,158.4
20792,24,159
20880,25,159.2
8244,40,159.6
90,,160.3
48,,161
18061,28,161.4
18914,27,161.9
1410,39,162.3
20859,25,162.4
5571,38,162.8
64,,163
67,,163.1
69,,163.6
18928,25,163.9
18187,28,163.9
21736,23,164.2
49,,166
20769,27,166
55,,167.1
34,,167.2
12,,167.5
7,,167.6
19079,26,167.8
549,37,167.9
32,,168.1
8,,168.7
19565,27,168.8
26,,169.1
52,,169.5
13,,170.2
14,,170.3
16191,30,170.4
5,,170.8
18215,27,172.5
19041,27,173.1
14996,30,173.8
13109,33,173.9
18992,28,175
97,,175.2
20924,26,176
14141,32,177
17048,29,178
19865,25,179
13227,31,180
9906,36,181
18879,27,182
16837,29,183
19017,26,184
21741,24,185
21400,24,186
21845,23,187
20006,26,188
18690,28,189
17290,28,190
19976,27,191
14187,31,192
18995,26,193
19064,27,194
20904,25,195
21690,23,196
16790,29,197
21759,22,198
21037,25,199
18103,29,200
5820,38,201
18881,26,202
14916,30,203
12109,36,204
17141,28,205
16728,32,206
21742,23,207
14917,31,208
14252,33,209
16141,29,210
16311,30,211
19318,26,212
19897,26,213
14587,30,214
19812,24,215
21697,23,216
21752,23,217
20398,25,218
16497,29,219
19924,26,220
18375,27,221
19705,26,222
21854,23,223
21731,25,224
18422,27,225
17053,28,226
19207,28,227
21967,23,228
21677,23,229
21138,24,230
12831,32,231
15196,29,232
21797,23,233
19514,28,234
18464,28,235
21970,23,236
18089,27,237
14901,30,238
18445,27,239
16887,28,240
22177,24,241
12708,31,242
21601,25,243
20795,24,244
16855,29,245
18047,27,246
19823,25,247
21961,24,248
14828,34,249
21448,24,250
19120,27,251
20239,26,252
21773,22,253
13723,33,254
20782,24,255
17289,29,256
19033,26,257
16326,30,258
19937,25,259
20964,24,260
