ID,NAME,POS,FPTS/G,FPTS,PPGOR
16847,David Johnson,RB,26.6,425.8,12.46842105
2593,Aaron Rodgers,QB,25.6,409.02,6.614814815
7242,Drew Brees,QB,23.8,381.32,4.814814815
732,Matt Ryan,QB,23.4,374.46,4.414814815
17923,Ezekiel Elliott,RB,23.2,347.4,9.068421053
14008,Andrew Luck,QB,22.7,340.7,3.714814815
14967,Le'Veon Bell,RB,28,336.4,13.86842105
14252,Kirk Cousins,QB,21,336.28,2.014814815
4556,Jordy Nelson,WR,20,320.7,6.6
11932,LeSean McCoy,RB,21.4,320.3,7.268421053
11056,Antonio Brown,WR,21.3,319.3,7.9
16597,Mike Evans,WR,19.8,316.1,6.4
13124,DeMarco Murray,RB,19.4,309.8,5.268421053
16389,Odell Beckham Jr.,WR,19.4,309.6,6
16245,Blake Bortles,QB,19.3,308.1,0.314814815
9038,Matthew Stafford,QB,19,303.78,0.014814815
8244,Philip Rivers,QB,18.9,302.94,-0.085185185
18055,Dak Prescott,QB,18.8,300.88,-0.185185185
14536,Russell Wilson,QB,18.3,292.06,-0.685185185
14005,T.Y. Hilton,WR,18.2,291.8,4.8
16524,Devonta Freeman,RB,18.2,291.1,4.068421053
16762,Jameis Winston,QB,18.1,289.4,-0.885185185
16311,Derek Carr,QB,19.3,289.22,0.314814815
12841,Andy Dalton,QB,17.7,283.64,-1.285185185
12831,Tyrod Taylor,QB,18.8,281.92,-0.185185185
13291,Julio Jones,WR,20.1,280.9,6.7
13320,Cam Newton,QB,18.6,279.26,-0.385185185
3807,Ben Roethlisberger,QB,19.9,279.16,0.914814815
2428,Carson Palmer,QB,18.6,279.12,-0.385185185
16763,Marcus Mariota,QB,18.5,276.94,-0.485185185
4314,Tom Brady,QB,23,275.56,4.014814815
611,Joe Flacco,QB,17,272.48,-1.985185185
17960,Michael Thomas,WR,17.8,266.7,4.4
13460,Doug Baldwin,WR,16.4,262.6,3
16776,Melvin Gordon III,RB,20.1,261.6,5.968421053
16470,Davante Adams,WR,16.2,259.7,2.8
4932,Eli Manning,QB,16,256.18,-2.985185185
16568,Brandin Cooks,WR,16,255.3,2.6
13337,Mark Ingram II,RB,15.8,253.2,1.668421053
18067,Jordan Howard,RB,16.8,252.1,2.668421053
9331,Michael Crabtree,WR,15.5,248.3,2.1
5571,Larry Fitzgerald,WR,15.5,247.8,2.1
12296,LeGarrette Blount,RB,15.4,245.9,1.268421053
16020,Jarvis Landry,WR,15.3,245.3,1.9
17920,Carson Wentz,QB,15.2,242.98,-3.785185185
16765,Amari Cooper,WR,15.2,242.9,1.8
15048,Travis Kelce,TE,15.1,241,3.875
6739,Alex Smith,QB,16,239.78,-2.985185185
8355,Julian Edelman,WR,14.9,238.3,1.5
