ID,NAME,POS,FPTS/G,FPTS,PPGOR
18890,Patrick Mahomes,QB,28.8,461.08,6.688
19766,Saquon Barkley,RB,25.4,406.8,10.5025
18877,Christian McCaffrey,RB,25.3,404.5,10.4025
16771,Todd Gurley II,RB,27.9,391.1,13.0025
732,Matt Ryan,QB,24.4,390.96,2.288
3807,Ben Roethlisberger,QB,24,383.86,1.888
14008,Andrew Luck,QB,22.8,364.92,0.688
18878,Alvin Kamara,RB,24.2,363.2,9.3025
18857,Deshaun Watson,QB,22.4,358.7,0.288
13291,Julio Jones,WR,22.4,357.9,8.627868852
14986,DeAndre Hopkins,WR,22.3,356.5,8.527868852
18082,Tyreek Hill,WR,22,352,8.227868852
17922,Jared Goff,QB,22,351.32,-0.112
17923,Ezekiel Elliott,RB,23.4,351.2,8.5025
16470,Davante Adams,WR,23,344.6,9.227868852
11056,Antonio Brown,WR,22.6,338.7,8.827868852
15534,Adam Thielen,WR,21,335.3,7.227868852
2593,Aaron Rodgers,QB,20.6,329.58,-1.512
17960,Michael Thomas,WR,20.6,329.5,6.827868852
7242,Drew Brees,QB,21.9,328.98,-0.212
18883,JuJu Smith-Schuster,WR,20.1,321.9,6.327868852
16597,Mike Evans,WR,19.7,315.4,5.927868852
14252,Kirk Cousins,QB,19.7,315.12,-2.412
8244,Philip Rivers,QB,19.6,313.02,-2.512
14536,Russell Wilson,QB,19.5,311.42,-2.612
15048,Travis Kelce,TE,19.4,310.6,7.342857143
4314,Tom Brady,QB,19.3,309.3,-2.812
18055,Dak Prescott,QB,19.1,305.86,-3.012
13320,Cam Newton,QB,21.8,304.6,-0.312
18983,James Conner,RB,22.8,297,7.9025
14856,Zach Ertz,TE,18.5,295.3,6.442857143
18811,Mitchell Trubisky,QB,20.7,290.02,-1.412
16776,Melvin Gordon III,RB,24,287.5,9.1025
16906,Stefon Diggs,WR,18.6,278.3,4.827868852
16056,James White,RB,17.3,276.6,2.4025
14871,Robert Woods IR,WR,17.2,274.6,3.427868852
19063,George Kittle,TE,16.9,270.7,4.842857143
15076,Keenan Allen,WR,16.9,270.1,3.127868852
4932,Eli Manning,QB,16.9,269.96,-5.212
19790,Baker Mayfield,QB,19,266.1,-3.112
16568,Brandin Cooks,WR,16.1,258.2,2.327868852
18858,Joe Mixon,RB,18.2,255.4,3.3025
14005,T.Y. Hilton,WR,18.1,254,4.327868852
16847,David Johnson,RB,15.7,251.6,0.8025
16389,Odell Beckham Jr.,WR,20.5,246.34,6.727868852
16311,Derek Carr,QB,15.4,245.76,-6.712
19003,Tarik Cohen,RB,15.2,242.94,0.3025
15694,Case Keenum,QB,15.1,240.9,-7.012
18944,Kareem Hunt,RB,21.5,236.2,6.6025
9038,Matthew Stafford,QB,14.8,236.18,-7.312
20128,Phillip Lindsay,RB,15.5,231.8,0.6025
16020,Jarvis Landry,WR,14.4,230.12,0.627868852
17986,Tyler Boyd,WR,16.4,230.1,2.627868852
16765,Amari Cooper,WR,15.3,229.4,1.527868852
19801,Josh Allen,QB,19,228.06,-3.112
16762,Jameis Winston,QB,20.7,227.78,-1.412
16451,Eric Ebron,TE,14.1,226.2,2.042857143
16830,Tyler Lockett,WR,14.1,225.4,0.327868852
17920,Carson Wentz,QB,20.2,221.66,-1.912
19119,Chris Carson,RB,15.8,221.4,0.9025
18977,Kenny Golladay,WR,14.4,216.1,0.627868852
8355,Julian Edelman,WR,17.8,213.42,4.027868852
19802,Calvin Ridley,WR,13.2,210.8,-0.572131148
17959,Derrick Henry,RB,13,208.36,-1.8975
11063,Emmanuel Sanders,WR,17.3,207.22,3.527868852
18003,Kenyan Drake,RB,13,207.2,-1.8975
19798,Nick Chubb,RB,12.9,206.5,-1.9975
8534,Jared Cook,TE,12.8,205.6,0.742857143
16245,Blake Bortles,QB,15.4,200.22,-6.712
4807,Adrian Peterson,RB,12.5,200,-2.3975
16834,Tevin Coleman,RB,12.5,199.6,-2.3975
18880,Chris Godwin IR,WR,12.2,195.2,-1.572131148
18998,Marlon Mack,RB,16,192.1,1.1025
16763,Marcus Mariota,QB,13.7,191.92,-8.412
12841,Andy Dalton,QB,17.4,191.54,-4.712
19812,Sam Darnold,QB,14.7,191.4,-7.412
14187,Alshon Jeffery,WR,14.7,191.3,0.927868852
8283,Ryan Fitzpatrick,QB,23.9,190.84,1.788
18879,Corey Davis,WR,11.8,189.6,-1.972131148
11611,Golden Tate,WR,12.6,188.9,-1.172131148
17290,Adam Humphries,WR,11.8,188.7,-1.972131148
5571,Larry Fitzgerald,WR,11.8,188.68,-1.972131148
17961,Sterling Shepard,WR,11.8,188.5,-1.972131148
18067,Jordan Howard,RB,11.7,187,-3.1975
13878,Mohamed Sanu Sr. IR,WR,11.6,186.4,-2.172131148
13791,Lamar Miller,RB,13.3,185.6,-1.5975
18992,Dede Westbrook,WR,11.5,184.5,-2.272131148
18914,Mike Williams,WR,11.3,180.2,-2.472131148
19045,Aaron Jones,RB,14.6,175.4,-0.2975
16797,T.J. Yeldon,RB,12.4,174.1,-2.4975
19319,Matt Breida O,RB,12.3,172.5,-2.5975
19562,Austin Ekeler,RB,12.1,169.8,-2.7975
16781,Nelson Agholor,WR,10.5,168.4,-3.272131148
19781,Lamar Jackson,QB,10.5,167.54,-11.612
18926,Zay Jones,WR,10.3,165.2,-3.472131148
18187,Robby Anderson,WR,11.7,164.4,-2.072131148
19844,DJ Moore,WR,10.2,163,-3.572131148
17963,Austin Hooper,TE,10.2,163,-1.857142857
12708,Dion Lewis,RB,10.1,161.7,-4.7975
19912,Nyheim Hines,RB,10.1,160.9,-4.7975
3943,DeSean Jackson,WR,13.4,160.3,-0.372131148
11197,Demaryius Thomas,WR,10.6,159.7,-3.172131148
4556,Jordy Nelson,WR,10.6,159.7,-3.172131148
16129,Taylor Gabriel,WR,9.9,158.9,-3.872131148
18690,Jalen Richard,RB,9.9,158.6,-4.9975
16263,Allen Robinson II,WR,12.1,157.3,-1.672131148
18872,Dalvin Cook,RB,14.3,157,-0.5975
12845,A.J. Green,WR,17.4,156.4,3.627868852
13799,Ryan Tannehill,QB,14.2,155.96,-7.912
13275,Kyle Rudolph,TE,9.6,154.4,-2.457142857
18375,Peyton Barber,RB,9.6,154.3,-5.2975
14141,Cole Beasley,WR,9.6,153.2,-4.172131148
19828,Sony Michel,RB,11.7,152.1,-3.1975
15965,Trey Burton,TE,9.4,151.1,-2.657142857
611,Joe Flacco,QB,16.7,150.1,-5.412
16640,John Brown,WR,9.4,149.9,-4.372131148
13337,Mark Ingram II,RB,12.5,149.5,-2.3975
