ID,NAME,POS,FPTS/G,FPTS,PPGOR
5084,Vernon Davis,TE,7.7,123.8,-2.744444444
17963,Austin Hooper,TE,7.7,122.6,-2.744444444
2699,Matt Forte,RB,10.1,121.4,-3.111904762
17939,Josh Doctson,WR,7.5,119.8,-4.870689655
12751,Charles Clay,TE,9.2,119.8,-1.244444444
16308,Albert Wilson,WR,9.2,119,-3.170689655
2428,Carson Palmer,QB,16.9,118.32,-0.992307692
11063,Emmanuel Sanders,WR,9.8,117.5,-2.570689655
18993,Samaje Perine,RB,7.3,116.5,-5.911904762
11182,Eric Decker,WR,7.3,116.3,-5.070689655
17916,William Fuller V,WR,11.6,116.2,-0.770689655
15088,Terrance Williams,WR,7.1,114.3,-5.270689655
12296,LeGarrette Blount,RB,7,111.6,-6.211904762
14828,Chris Hogan,WR,12.2,109.6,-0.170689655
19063,George Kittle,TE,7.3,109.5,-3.144444444
19562,Austin Ekeler,RB,6.8,108.9,-6.411904762
13856,Deonte Thompson,WR,6.8,108,-5.570689655
18996,Wayne Gallman,RB,8.1,105.9,-5.111904762
15509,Jaron Brown,WR,6.6,105.7,-5.770689655
19319,Matt Breida O,RB,6.5,103.5,-6.711904762
18998,Marlon Mack,RB,7.4,103.3,-5.811904762
18901,O.J. Howard,TE,7.4,103.2,-3.044444444
16608,Austin Seferian-Jenkins,TE,7.9,102.7,-2.544444444
16253,Allen Hurns,WR,10.2,102.4,-2.170689655
8914,Jeremy Maclin,WR,8.5,102,-3.870689655
16041,Jimmy Garoppolo,QB,16.5,98.9,-1.392307692
16920,Jesse James,TE,6.1,98.2,-4.344444444
13027,Julius Thomas,TE,7,97.8,-3.444444444
16919,J.J. Nelson,WR,6.1,97.5,-6.270689655
18464,J.D. McKissic,RB,7.5,97.3,-5.711904762
19064,Trent Taylor,WR,6.5,97,-5.870689655
18973,C.J. Beathard,QB,13.8,96.8,-4.092307692
18880,Chris Godwin IR,WR,6,95.5,-6.370689655
17360,Rod Smith,RB,6.4,95.4,-6.811904762
18876,David Njoku,TE,5.9,94.7,-4.544444444
18977,Kenny Golladay,WR,8.6,94.6,-3.770689655
12830,Torrey Smith,WR,5.9,93.7,-6.470689655
6767,Pierre Garcon,WR,11.6,93,-0.770689655
16326,Seth Roberts,WR,6.2,92.5,-6.170689655
19548,Corey Clement,RB,5.8,92.4,-7.411904762
17970,Devontae Booker,RB,7.1,92.4,-6.111904762
16797,T.J. Yeldon,RB,9.2,91.7,-4.011904762
16855,Ty Montgomery,WR,11.4,91.6,-0.970689655
14141,Cole Beasley,WR,6.1,91.4,-6.270689655
18375,Peyton Barber,RB,5.6,89.7,-7.611904762
18285,Roger Lewis,WR,6,89.6,-6.370689655
18690,Jalen Richard,RB,5.6,89.1,-7.611904762
3061,Marcedes Lewis,TE,5.5,87.8,-4.944444444
15224,Andre Ellington,RB,7.3,87.4,-5.911904762
4807,Adrian Peterson,RB,8.7,86.9,-4.511904762
12239,Chris Ivory,RB,6.2,86.7,-7.011904762
19045,Aaron Jones,RB,7.2,86,-6.011904762
15150,Cordarrelle Patterson,RB,5.4,86,-7.811904762
18061,DeAndre Washington,RB,5.7,86,-7.511904762
12780,Shane Vereen,RB,5.3,84.7,-7.911904762
12153,Ed Dickson,TE,5.2,82.7,-5.244444444
16276,Bennie Fowler,WR,5.1,82,-7.270689655
16129,Taylor Gabriel,WR,5.1,81.7,-7.270689655
15965,Trey Burton,TE,5.3,79.8,-5.144444444
7884,Antonio Gates,TE,5,79.6,-5.444444444
14496,Garrett Celek,TE,4.9,78.6,-5.544444444
19109,Elijah McGuire,RB,4.9,78.2,-8.311904762
16456,TJ Jones,WR,5.6,77.9,-6.770689655
18057,Seth DeValve,TE,4.8,77.5,-5.644444444
11026,Jermaine Gresham,TE,5.5,77.2,-4.944444444
16232,Donte Moncrief,WR,6.4,77.1,-5.970689655
14385,Doug Martin,RB,7,77,-6.211904762
8283,Ryan Fitzpatrick,QB,12.8,76.92,-5.092307692
16664,Bruce Ellington,WR,6.9,75.7,-5.470689655
16567,Brandon Coleman,WR,4.7,75.4,-7.670689655
14269,Alfred Morris,RB,5.4,75.2,-7.811904762
8358,Brian Hoyer,QB,6.8,74.88,-11.09230769
16609,Charles Sims,RB,4.6,74.4,-8.611904762
14053,Brock Osweiler,QB,12.4,74.12,-5.492307692
16389,Odell Beckham Jr.,WR,18.5,74,6.129310345
16307,Charcandrick West,RB,5.6,73.2,-7.611904762
14901,Kyle Juszczyk,FB,5.1,71.6,0
18926,Zay Jones,WR,4.7,70.6,-7.670689655
18879,Corey Davis,WR,6.4,70.5,-5.970689655
16640,John Brown,WR,7,69.9,-5.370689655
14872,Mike Gillislee,RB,7.8,69.8,-5.411904762
12982,Blaine Gabbert,QB,13.9,69.64,-3.992307692
18089,Rashard Higgins,WR,4.6,69.6,-7.770689655
7969,Jamaal Charles,RB,5,69.5,-8.211904762
18872,Dalvin Cook,RB,17.4,69.4,4.188095238
14795,Josh Bellamy,WR,4.5,68.2,-7.870689655
15010,Kerwynn Williams,RB,4.2,67.9,-9.011904762
18992,Dede Westbrook,WR,9.6,66.9,-2.770689655
16211,Tom Savage,QB,8.3,66.68,-9.592307692
17938,Corey Coleman,WR,7.3,65.5,-5.070689655
16728,Dontrelle Inman,WR,5.4,65.3,-6.970689655
16954,Nick O'Leary,TE,4.3,65.2,-6.144444444
18262,Stephen Anderson,TE,4.3,65.2,-6.144444444
15066,Brice Butler,WR,5,64.7,-7.370689655
13997,Coby Fleener,TE,5.8,63.5,-4.644444444
18036,Ricardo Louis,WR,3.9,62.7,-8.470689655
16278,Cody Latimer,WR,5.6,61.7,-6.770689655
18361,Chester Rogers,WR,5.6,61.2,-6.770689655
14587,Josh Gordon O,WR,12.1,60.5,-0.270689655
18032,Tyler Higbee,TE,3.8,60.5,-6.644444444
15038,Tavarres King,WR,7.5,60.3,-4.870689655
16868,Justin Hardy,WR,3.8,60.1,-8.570689655
15100,Jordan Reed,TE,10,60.1,-0.444444444
18030,Chris Moore,WR,4.6,59.9,-7.770689655
16031,Damien Williams,RB,5.4,59.6,-7.811904762
14445,Rhett Ellison,TE,3.7,59.5,-6.744444444
1181,Martellus Bennett,TE,6.5,58.6,-3.944444444
12317,Danny Woodhead,RB,7.3,58.6,-5.911904762
15974,Jordan Matthews,TE,5.8,58.2,-4.644444444
18957,D'Onta Foreman,RB,5.8,58,-7.411904762
15207,Benjamin Cunningham,RB,4.1,57.9,-9.111904762
8532,Kenny Britt,WR,4.8,57.6,-7.570689655
13171,Aldrick Robinson,WR,3.6,57,-8.770689655
17986,Tyler Boyd,WR,5.6,56.5,-6.770689655
16962,AJ Derby,TE,5.1,56.4,-5.344444444
12415,Zach Miller,TE,7,55.6,-3.444444444
4737,Drew Stanton,QB,11.1,55.46,-6.792307692
15263,Luke Willson,TE,3.4,54.3,-7.044444444
15247,Darren Fells,TE,3.3,52.7,-7.144444444
18935,Gerald Everett,TE,3.3,52.7,-7.144444444
16081,Michael Campanaro,WR,4,52.5,-8.370689655
16887,Mike Davis,RB,8.7,52.1,-4.511904762
4738,Mike Tolbert,FB,4.3,51.5,0
18269,Geronimo Allison,WR,3.4,50.3,-8.970689655
16931,Nick Boyle,TE,3.4,50.3,-7.044444444
19410,Ricky Seals-Jones,TE,5.6,50.1,-4.844444444
13693,Terrelle Pryor,WR,5.6,50,-6.770689655
14465,Jarius Wright,WR,3.1,49.8,-9.270689655
18971,Taywan Taylor,WR,3.1,49.4,-9.270689655
18103,Jakeem Grant Sr.,WR,3,48.5,-9.370689655
12794,Jeremy Kerley,WR,6,47.7,-6.370689655
16189,Alfred Blue,RB,4.3,47.6,-8.911904762
15215,Tavon Austin,WR,3,47.6,-9.370689655
13299,Jacquizz Rodgers,RB,2.9,46.8,-10.31190476
18241,Johnny Holton,WR,2.9,46.8,-9.470689655
18070,Wendell Smallwood,RB,5.8,46.7,-7.411904762
15305,Demetrius Harris,TE,2.9,46.4,-7.544444444
5834,Matt Moore,QB,11.6,46.34,-6.292307692
18990,Jonnu Smith,TE,2.9,45.7,-7.544444444
14850,Russell Shepard,WR,3,45.1,-9.370689655
1658,Greg Olsen,TE,6.4,45.1,-4.044444444
17053,Malcolm Brown,RB,4.1,44.9,-9.111904762
15201,Mike Glennon,QB,11.2,44.72,-6.692307692
19023,Mack Hollins,WR,2.8,44.6,-9.570689655
13386,Lance Kendricks,TE,2.8,44.3,-7.644444444
18451,Rob Kelley,RB,6.2,43.2,-7.011904762
13264,Andre Holmes,WR,3.1,43,-9.270689655
17197,Corey Grant,RB,2.7,42.9,-10.51190476
18931,Adam Shaheen,TE,3.3,42.7,-7.144444444
18047,Demarcus Robinson,WR,2.6,42.2,-9.770689655
19318,Kendrick Bourne,WR,3.8,41.7,-8.570689655
17964,Braxton Miller,WR,3.8,41.3,-8.570689655
16305,De'Anthony Thomas,WR,2.5,40.7,-9.870689655
16273,Kapri Bibbs,RB,13.6,40.7,0.388095238
17914,Laquon Treadwell,WR,2.5,40,-9.870689655
19119,Chris Carson,RB,9.9,39.7,-3.311904762
